bar_index,timestamp,hour_of_day,symbol,timeframe,direction,grade,confidence,regime,score_structure,score_location,score_momentum,score_orderflow,score_volatility,score_total,entry_price,target_price,stop_price,outcome,bars_to_outcome
156,2026-02-24 09:30:00,9,AAPL,15m,LONG,A,85.0,TRENDING_UP,25.0,7.0,5.0,6.0,-8.0,85.0,274.195007,276.991059,272.796981,LOSS,3
184,2026-02-25 10:00:00,10,AAPL,15m,LONG,A,91.0,TRENDING_UP,15.0,7.0,7.0,12.0,0.0,91.0,272.964996,275.055668,271.91966,TIMEOUT,10
195,2026-02-25 12:45:00,12,AAPL,15m,LONG,A,81.0,TRENDING_UP,15.0,7.0,7.0,12.0,-10.0,81.0,274.214996,275.946682,273.349153,LOSS,8
206,2026-02-25 15:30:00,15,AAPL,15m,LONG,B,66.0,TRENDING_UP,15.0,7.0,7.0,-3.0,-10.0,66.0,273.970093,275.382537,273.263871,WIN,2
259,2026-02-27 15:45:00,15,AAPL,15m,SHORT,A,83.0,TRENDING_DOWN,15.0,7.0,0.0,11.0,0.0,83.0,264.170013,262.029691,265.240174,WIN,1
284,2026-03-02 15:30:00,15,AAPL,15m,SHORT,A,94.0,TRENDING_DOWN,25.0,7.0,0.0,12.0,0.0,94.0,264.202393,262.206993,265.200093,LOSS,1
365,2026-03-06 09:45:00,9,AAPL,15m,SHORT,B,69.0,TRENDING_DOWN,15.0,7.0,0.0,2.0,-5.0,69.0,255.899994,253.001654,257.349164,LOSS,4
391,2026-03-09 09:45:00,9,AAPL,15m,SHORT,B,72.0,TRENDING_DOWN,15.0,7.0,0.0,0.0,0.0,72.0,255.710007,253.208975,256.960523,LOSS,3
413,2026-03-09 15:15:00,15,AAPL,15m,LONG,B,73.0,TRENDING_UP,15.0,7.0,5.0,1.0,-5.0,73.0,259.480011,261.423141,258.508446,LOSS,3
431,2026-03-10 13:15:00,13,AAPL,15m,LONG,B,68.0,TRENDING_UP,-15.0,7.0,15.0,11.0,0.0,68.0,262.200012,264.082534,261.258751,LOSS,3
499,2026-03-13 10:45:00,10,AAPL,15m,SHORT,A,90.0,TRENDING_DOWN,25.0,7.0,0.0,8.0,0.0,90.0,253.839996,252.037424,254.741282,WIN,4
518,2026-03-13 15:30:00,15,AAPL,15m,SHORT,A,86.0,TRENDING_DOWN,25.0,7.0,0.0,9.0,-5.0,86.0,250.039993,248.449929,250.835025,LOSS,2
557,2026-03-17 12:15:00,12,AAPL,15m,LONG,A,91.0,TRENDING_UP,15.0,7.0,15.0,9.0,-5.0,91.0,254.860001,256.288249,254.145877,LOSS,2
683,2026-03-24 11:15:00,11,AAPL,15m,LONG,A,93.0,TRENDING_UP,25.0,7.0,5.0,9.0,-3.0,93.0,253.985001,256.121631,252.916686,LOSS,7
730,2026-03-26 10:00:00,10,AAPL,15m,LONG,A,85.0,TRENDING_UP,15.0,7.0,7.0,6.0,0.0,85.0,255.050003,256.898119,254.125945,WIN,4
740,2026-03-26 12:30:00,12,AAPL,15m,LONG,A,93.0,TRENDING_UP,15.0,7.0,11.0,10.0,0.0,93.0,256.220093,258.085499,255.28739,LOSS,2
818,2026-03-31 12:30:00,12,AAPL,15m,LONG,B,74.0,TRENDING_UP,5.0,0.0,15.0,4.0,0.0,74.0,251.770004,253.932726,250.688643,WIN,4
828,2026-03-31 15:00:00,15,AAPL,15m,LONG,A,100.0,TRENDING_UP,25.0,5.0,11.0,11.0,0.0,100.0,253.895004,255.820802,252.932105,WIN,4
883,2026-04-02 15:45:00,15,AAPL,15m,LONG,B,66.0,TRENDING_UP,5.0,-10.0,15.0,11.0,-5.0,66.0,255.889999,257.469913,255.100042,WIN,1
893,2026-04-06 11:45:00,11,AAPL,15m,LONG,B,71.0,TRENDING_UP,15.0,7.0,11.0,-12.0,0.0,71.0,259.510101,261.525623,258.50234,LOSS,5
959,2026-04-08 15:15:00,15,AAPL,15m,LONG,B,74.0,TRENDING_UP,15.0,7.0,6.0,-4.0,0.0,74.0,257.200012,258.91934,256.340348,WIN,2
986,2026-04-09 15:30:00,15,AAPL,15m,LONG,A,95.0,TRENDING_UP,25.0,7.0,17.0,6.0,-10.0,95.0,260.799988,262.16708,260.116442,LOSS,2
996,2026-04-10 11:30:00,11,AAPL,15m,LONG,A,91.0,TRENDING_UP,15.0,7.0,11.0,13.0,-5.0,91.0,261.500885,262.993345,260.754655,LOSS,1
1071,2026-04-15 10:45:00,10,AAPL,15m,LONG,A,85.0,TRENDING_UP,15.0,7.0,15.0,6.0,-8.0,85.0,262.945007,264.907937,261.963542,WIN,5
1081,2026-04-15 13:15:00,13,AAPL,15m,LONG,A,90.0,TRENDING_UP,25.0,7.0,11.0,5.0,-8.0,90.0,264.945007,266.919755,263.957633,TIMEOUT,10
1091,2026-04-15 15:45:00,15,AAPL,15m,LONG,A,100.0,TRENDING_UP,25.0,7.0,7.0,12.0,0.0,100.0,266.369995,267.872689,265.618648,LOSS,1
1119,2026-04-17 09:45:00,9,AAPL,15m,LONG,A,80.0,TRENDING_UP,15.0,7.0,5.0,8.0,-5.0,80.0,268.970001,271.343177,267.783413,WIN,5
1129,2026-04-17 12:15:00,12,AAPL,15m,LONG,A,100.0,TRENDING_UP,25.0,7.0,11.0,13.0,-3.0,100.0,271.549988,273.636058,270.506953,LOSS,4
1139,2026-04-17 14:45:00,14,AAPL,15m,LONG,B,72.0,TRENDING_UP,15.0,7.0,6.0,-6.0,0.0,72.0,270.130005,271.768245,269.310885,WIN,5
1150,2026-04-20 11:00:00,11,AAPL,15m,LONG,B,67.0,TRENDING_UP,15.0,7.0,4.0,-9.0,0.0,67.0,271.970001,273.987179,270.961412,TIMEOUT,10
1203,2026-04-22 11:15:00,11,AAPL,15m,LONG,B,65.0,TRENDING_UP,5.0,-10.0,11.0,12.0,-3.0,65.0,272.400085,274.586461,271.306897,TIMEOUT,10
1213,2026-04-22 13:45:00,13,AAPL,15m,LONG,B,68.0,TRENDING_UP,5.0,-10.0,11.0,12.0,0.0,68.0,273.470001,275.208647,272.600678,LOSS,3
1332,2026-04-29 11:00:00,11,AAPL,15m,SHORT,B,65.0,TRENDING_DOWN,5.0,0.0,7.0,3.0,0.0,65.0,268.915009,267.319841,269.712593,LOSS,5
1344,2026-04-29 14:00:00,14,AAPL,15m,LONG,B,69.0,TRENDING_UP,15.0,7.0,1.0,-4.0,0.0,69.0,270.040009,271.466839,269.326594,LOSS,8
1358,2026-04-30 11:00:00,11,AAPL,15m,LONG,A,81.0,TRENDING_UP,15.0,5.0,1.0,13.0,-3.0,81.0,271.290009,273.164087,270.35297,WIN,6
1368,2026-04-30 13:30:00,13,AAPL,15m,LONG,A,82.0,TRENDING_UP,15.0,7.0,15.0,-5.0,0.0,82.0,273.709991,275.524431,272.802771,WIN,9
1379,2026-05-01 09:45:00,9,AAPL,15m,LONG,A,85.0,TRENDING_UP,15.0,7.0,5.0,13.0,-5.0,85.0,283.950012,288.065736,281.89215,LOSS,5
1432,2026-05-05 10:00:00,10,AAPL,15m,LONG,B,65.0,TRENDING_UP,5.0,-10.0,5.0,15.0,0.0,65.0,279.605011,281.605027,278.605003,WIN,2
