bar_index,timestamp,hour_of_day,symbol,timeframe,direction,grade,confidence,regime,score_structure,score_location,score_momentum,score_orderflow,score_volatility,score_total,entry_price,target_price,stop_price,outcome,bars_to_outcome
109,2023-08-31 08:00:00,8,AAPL,4h,LONG,A,83.0,TRENDING_UP,5.0,0.0,15.0,13.0,0.0,83.0,187.979996,192.270736,185.834626,LOSS,6
143,2023-09-26 08:00:00,8,AAPL,4h,SHORT,A,85.0,TRENDING_DOWN,25.0,7.0,0.0,3.0,0.0,85.0,173.009995,168.138205,175.44589,WIN,4
169,2023-10-13 08:00:00,8,AAPL,4h,LONG,A,85.0,TRENDING_UP,15.0,7.0,11.0,2.0,0.0,85.0,179.255005,183.872201,176.946407,LOSS,2
182,2023-10-23 12:00:00,12,AAPL,4h,SHORT,A,86.0,TRENDING_DOWN,15.0,7.0,3.0,11.0,0.0,86.0,172.960007,168.336191,175.271915,WIN,5
201,2023-11-06 08:00:00,8,AAPL,4h,LONG,A,100.0,TRENDING_UP,25.0,7.0,17.0,6.0,-3.0,100.0,178.889893,183.835413,176.417133,WIN,6
211,2023-11-13 08:00:00,8,AAPL,4h,LONG,A,97.0,TRENDING_UP,25.0,7.0,13.0,12.0,-10.0,97.0,184.565002,188.91959,182.387708,WIN,4
221,2023-11-20 08:00:00,8,AAPL,4h,LONG,A,84.0,TRENDING_UP,25.0,7.0,17.0,-5.0,-10.0,84.0,191.229996,195.138116,189.275936,LOSS,6
232,2023-11-29 08:00:00,8,AAPL,4h,LONG,B,66.0,TRENDING_UP,15.0,7.0,8.0,-4.0,-10.0,66.0,189.899994,193.38243,188.158776,LOSS,6
251,2023-12-12 12:00:00,12,AAPL,4h,LONG,A,92.0,TRENDING_UP,15.0,7.0,9.0,11.0,0.0,92.0,194.669998,198.499962,192.755016,WIN,3
262,2023-12-20 08:00:00,8,AAPL,4h,LONG,A,84.0,TRENDING_UP,15.0,7.0,9.0,13.0,-10.0,84.0,197.358307,200.827255,195.623833,LOSS,1
416,2024-04-12 08:00:00,8,AAPL,4h,LONG,A,90.0,TRENDING_UP,15.0,7.0,7.0,11.0,0.0,90.0,175.589996,180.203798,173.283095,LOSS,3
489,2024-06-04 12:00:00,12,AAPL,4h,LONG,A,92.0,TRENDING_UP,25.0,7.0,0.0,10.0,0.0,92.0,194.365005,198.416181,192.339417,LOSS,8
536,2024-07-10 12:00:00,12,AAPL,4h,LONG,B,72.0,TRENDING_UP,-15.0,7.0,17.0,13.0,0.0,72.0,232.910004,239.099296,229.815358,LOSS,1
546,2024-07-17 12:00:00,12,AAPL,4h,LONG,B,71.0,TRENDING_UP,15.0,7.0,8.0,-6.0,-3.0,71.0,228.884995,236.208201,225.223392,LOSS,1
574,2024-08-06 12:00:00,12,AAPL,4h,SHORT,B,66.0,TRENDING_DOWN,15.0,7.0,5.0,-3.0,-8.0,66.0,207.125,195.807456,212.783772,LOSS,1
647,2024-09-27 08:00:00,8,AAPL,4h,LONG,B,65.0,TRENDING_UP,5.0,-10.0,13.0,12.0,-5.0,65.0,228.149994,234.17491,225.137536,LOSS,4
671,2024-10-15 08:00:00,8,AAPL,4h,LONG,A,82.0,TRENDING_UP,15.0,7.0,7.0,13.0,-10.0,82.0,234.759995,240.690743,231.794621,LOSS,2
720,2024-11-18 12:00:00,12,AAPL,4h,LONG,B,67.0,TRENDING_UP,5.0,0.0,5.0,12.0,-5.0,67.0,227.990005,233.189143,225.390436,WIN,9
731,2024-11-26 08:00:00,8,AAPL,4h,LONG,B,72.0,TRENDING_UP,5.0,-13.0,17.0,13.0,0.0,72.0,234.479996,239.983568,231.72821,WIN,5
741,2024-12-04 12:00:00,12,AAPL,4h,LONG,A,98.0,TRENDING_UP,25.0,7.0,13.0,13.0,-10.0,98.0,243.020004,247.922534,240.568739,WIN,8
751,2024-12-11 12:00:00,12,AAPL,4h,LONG,A,82.0,TRENDING_UP,15.0,7.0,13.0,2.0,-5.0,82.0,246.429993,251.478739,243.90562,WIN,7
761,2024-12-18 12:00:00,12,AAPL,4h,LONG,A,80.0,TRENDING_UP,15.0,7.0,6.0,2.0,0.0,80.0,247.860001,253.276463,245.15177,WIN,3
771,2024-12-27 08:00:00,8,AAPL,4h,LONG,B,72.0,TRENDING_UP,15.0,7.0,6.0,2.0,-8.0,72.0,253.679993,259.711007,250.664486,LOSS,4
835,2025-02-14 08:00:00,8,AAPL,4h,LONG,B,67.0,TRENDING_UP,-15.0,7.0,17.0,8.0,0.0,67.0,243.815201,251.853841,239.795881,TIMEOUT,10
847,2025-02-25 08:00:00,8,AAPL,4h,LONG,A,100.0,TRENDING_UP,15.0,7.0,17.0,13.0,0.0,100.0,249.580002,256.22698,246.256513,LOSS,1
906,2025-04-07 12:00:00,12,AAPL,4h,SHORT,B,70.0,TRENDING_DOWN,15.0,7.0,5.0,-2.0,-5.0,70.0,181.589996,168.383798,188.193095,LOSS,1
916,2025-04-14 12:00:00,12,AAPL,4h,LONG,B,74.0,TRENDING_UP,5.0,0.0,15.0,12.0,-8.0,74.0,202.589996,220.364426,193.702781,LOSS,4
929,2025-04-24 08:00:00,8,AAPL,4h,LONG,A,81.0,TRENDING_UP,15.0,7.0,7.0,2.0,0.0,81.0,206.289993,218.941555,199.964212,TIMEOUT,10
939,2025-05-01 08:00:00,8,AAPL,4h,LONG,A,91.0,TRENDING_UP,15.0,7.0,13.0,6.0,0.0,91.0,212.779999,222.709891,207.815053,LOSS,2
1024,2025-07-02 12:00:00,12,AAPL,4h,LONG,B,65.0,TRENDING_UP,5.0,-10.0,7.0,13.0,0.0,65.0,212.410004,218.957398,209.136307,LOSS,3
1034,2025-07-11 08:00:00,8,AAPL,4h,LONG,B,70.0,TRENDING_UP,-15.0,7.0,13.0,15.0,0.0,70.0,210.634995,216.837891,207.533547,TIMEOUT,10
1046,2025-07-21 08:00:00,8,AAPL,4h,LONG,A,84.0,TRENDING_UP,15.0,7.0,9.0,13.0,-10.0,84.0,213.319595,218.643215,210.657785,TIMEOUT,10
1056,2025-07-28 08:00:00,8,AAPL,4h,LONG,B,72.0,TRENDING_UP,15.0,7.0,8.0,-3.0,-5.0,72.0,214.539993,218.804133,212.407923,LOSS,2
1075,2025-08-08 12:00:00,12,AAPL,4h,LONG,A,93.0,TRENDING_UP,25.0,7.0,7.0,12.0,-8.0,93.0,229.369995,237.960285,225.07485,LOSS,1
