bar_index,timestamp,hour_of_day,config,symbol,timeframe,direction,grade,confidence,in_lvn,in_hvn,wme_speed,wme_sweep_bars_ago,wme_sweep_count_20,htf_bull,entry_price,stop_loss,targets_hit,r_multiple,outcome,bars_to_outcome
177,2026-01-30 15:30:00,15,A_WME_strict,BTCUSDT,15m,SHORT,A,95.0,False,False,-1.5453,2,1,False,83266.4,84619.578224,2,0.545,WIN,11
409,2026-02-02 01:30:00,1,A_WME_strict,BTCUSDT,15m,LONG,A,84.7,False,False,1.3107,9,1,True,77710.65,75537.191256,0,-1.0,LOSS,7
491,2026-02-02 22:00:00,22,A_WME_strict,BTCUSDT,15m,LONG,B,61.9,False,False,0.4575,7,1,True,78765.35,77686.438175,2,0.001,WIN,11
514,2026-02-03 03:45:00,3,A_WME_strict,BTCUSDT,15m,LONG,A,75.8,False,False,0.7182,2,1,True,78753.32,77692.306295,1,-0.34,LOSS,43
618,2026-02-04 05:45:00,5,A_WME_strict,BTCUSDT,15m,SHORT,B,64.8,False,False,-0.6534,8,1,False,76279.99,77294.49052,1,1.835,WIN,36
992,2026-02-08 03:15:00,3,A_WME_strict,BTCUSDT,15m,SHORT,B,71.7,False,False,-0.4436,3,1,False,69341.45,70181.897828,1,-0.725,LOSS,20
1071,2026-02-08 23:00:00,23,A_WME_strict,BTCUSDT,15m,LONG,B,72.9,False,False,0.5268,4,1,True,71366.0,70486.280789,0,-1.0,LOSS,1
1137,2026-02-09 15:30:00,15,A_WME_strict,BTCUSDT,15m,SHORT,A,92.2,False,False,-1.1481,3,2,False,69542.29,71011.126174,0,-1.0,LOSS,10
1320,2026-02-11 13:15:00,13,A_WME_strict,BTCUSDT,15m,SHORT,A,76.2,False,False,-0.7445,3,2,False,67018.77,67858.453308,0,-1.0,LOSS,3
1478,2026-02-13 04:45:00,4,A_WME_strict,BTCUSDT,15m,SHORT,B,60.1,False,False,-0.3421,11,1,False,66329.22,67067.162031,0,-1.0,LOSS,22
1614,2026-02-14 14:45:00,14,A_WME_strict,BTCUSDT,15m,LONG,B,66.9,False,False,0.7936,6,1,True,69701.66,68877.624137,0,0.902,WIN,60
1667,2026-02-15 04:00:00,4,A_WME_strict,BTCUSDT,15m,LONG,A,95.0,False,False,2.5063,1,1,True,70424.5,69713.025715,0,-1.0,LOSS,35
1744,2026-02-15 23:15:00,23,A_WME_strict,BTCUSDT,15m,SHORT,A,85.0,False,False,-1.8881,6,1,False,68648.11,69457.130689,1,0.398,WIN,12
1801,2026-02-16 13:30:00,13,A_WME_strict,BTCUSDT,15m,SHORT,A,95.0,False,False,-3.0246,1,2,False,68430.65,69473.127755,2,-0.01,WIN,1
1852,2026-02-17 02:15:00,2,A_WME_strict,BTCUSDT,15m,LONG,A,95.0,False,False,1.9328,0,0,True,69041.6,68255.240129,0,-1.0,LOSS,12
2002,2026-02-18 15:45:00,15,A_WME_strict,BTCUSDT,15m,LONG,A,95.0,False,False,2.5494,3,1,True,67694.01,66765.860034,0,-1.0,LOSS,10
2069,2026-02-19 08:30:00,8,A_WME_strict,BTCUSDT,15m,SHORT,B,68.2,False,False,-0.878,7,2,False,66933.82,67441.135399,1,0.925,WIN,14
2107,2026-02-19 18:00:00,18,A_WME_strict,BTCUSDT,15m,SHORT,B,65.1,False,False,-0.6724,2,3,False,66639.09,67711.519317,0,-1.0,LOSS,46
2184,2026-02-20 13:15:00,13,A_WME_strict,BTCUSDT,15m,SHORT,B,61.5,False,False,-0.4361,12,1,False,67202.01,67867.667133,3,0.366,WIN,7
2279,2026-02-21 13:00:00,13,A_WME_strict,BTCUSDT,15m,LONG,A,91.7,False,False,1.11,1,2,True,68147.29,67824.030634,1,0.219,WIN,1
2328,2026-02-22 01:15:00,1,A_WME_strict,BTCUSDT,15m,LONG,B,64.3,False,False,0.6231,9,1,True,68116.6,67695.922804,2,-0.256,LOSS,49
2355,2026-02-22 08:00:00,8,A_WME_strict,BTCUSDT,15m,SHORT,B,67.8,False,False,-0.8541,6,1,False,67986.78,68270.082606,1,-0.059,WIN,1
2416,2026-02-22 23:15:00,23,A_WME_strict,BTCUSDT,15m,SHORT,A,95.0,False,False,-1.3444,1,2,False,67606.64,67984.05908,2,0.526,WIN,5
2600,2026-02-24 21:15:00,21,A_WME_strict,BTCUSDT,15m,SHORT,B,68.2,False,False,-0.8804,8,1,False,63916.22,64706.046842,0,-1.0,LOSS,15
2711,2026-02-26 01:00:00,1,A_WME_strict,BTCUSDT,15m,LONG,B,60.0,False,False,0.3346,8,2,True,68568.51,67312.885065,1,-0.098,WIN,1
2831,2026-02-27 07:00:00,7,A_WME_strict,BTCUSDT,15m,SHORT,B,60.6,False,False,-0.3751,10,1,False,67653.86,68310.160703,2,0.624,WIN,12
2959,2026-02-28 15:00:00,15,A_WME_strict,BTCUSDT,15m,SHORT,A,94.7,False,False,-1.3139,3,1,False,64224.27,65362.70142,1,-0.485,LOSS,11
3003,2026-03-01 02:00:00,2,A_WME_strict,BTCUSDT,15m,LONG,A,95.0,False,False,1.6611,2,1,True,67895.95,66608.575738,1,-0.418,WIN,1
3028,2026-03-01 08:15:00,8,A_WME_strict,BTCUSDT,15m,LONG,A,76.6,True,False,0.4388,6,2,True,67228.0,66350.521384,0,-1.0,LOSS,3
3100,2026-03-02 02:15:00,2,A_WME_strict,BTCUSDT,15m,SHORT,A,80.7,False,False,-1.0478,5,1,False,66193.28,67446.619547,1,0.236,WIN,19
3150,2026-03-02 14:45:00,14,A_WME_strict,BTCUSDT,15m,LONG,A,95.0,False,False,3.0549,2,1,True,67177.06,66158.710333,2,-0.305,WIN,1
3190,2026-03-03 00:45:00,0,A_WME_strict,BTCUSDT,15m,LONG,A,79.4,False,False,0.9627,1,1,True,69092.88,68138.812419,0,-1.0,LOSS,16
3250,2026-03-03 15:45:00,15,A_WME_strict,BTCUSDT,15m,LONG,A,95.0,False,False,1.532,3,1,True,67725.81,66338.823342,2,0.687,WIN,60
3384,2026-03-05 01:15:00,1,A_WME_strict,BTCUSDT,15m,LONG,A,80.5,False,False,1.0356,6,1,True,72945.09,71884.025997,0,-1.0,LOSS,26
3416,2026-03-05 09:15:00,9,A_WME_strict,BTCUSDT,15m,LONG,B,67.8,False,False,0.8553,5,1,True,72690.81,71710.590021,1,-0.609,LOSS,23
3439,2026-03-05 15:00:00,15,A_WME_strict,BTCUSDT,15m,LONG,A,85.0,False,False,1.5643,5,2,True,71798.63,70639.707407,0,-1.0,LOSS,41
3748,2026-03-08 20:15:00,20,A_WME_strict,BTCUSDT,15m,SHORT,A,90.8,False,False,-1.0532,1,1,False,67031.79,67703.248587,1,0.623,WIN,7
3783,2026-03-09 05:00:00,5,A_WME_strict,BTCUSDT,15m,SHORT,A,80.4,False,False,-1.0277,6,1,False,67157.0,68254.317998,2,-0.219,LOSS,18
3918,2026-03-10 14:45:00,14,A_WME_strict,BTCUSDT,15m,LONG,A,95.0,False,False,1.6596,1,1,True,71467.81,70278.343435,1,-0.655,WIN,1
3956,2026-03-11 00:15:00,0,A_WME_strict,BTCUSDT,15m,LONG,A,75.4,True,False,0.3571,10,2,True,70055.16,69202.996707,0,-1.0,LOSS,46
3989,2026-03-11 08:30:00,8,A_WME_strict,BTCUSDT,15m,SHORT,B,60.3,False,False,-0.3563,14,1,False,69672.71,70315.316672,1,0.269,WIN,4
4108,2026-03-12 14:15:00,14,A_WME_strict,BTCUSDT,15m,LONG,A,95.0,False,False,1.3409,1,1,True,69953.32,69037.977523,2,0.847,WIN,39
4256,2026-03-14 03:15:00,3,A_WME_strict,BTCUSDT,15m,LONG,A,96.8,True,False,1.1177,6,2,True,71041.67,70441.665152,1,-0.655,LOSS,13
4294,2026-03-14 12:45:00,12,A_WME_strict,BTCUSDT,15m,SHORT,B,74.2,False,False,-0.6125,2,1,False,70780.59,71177.761773,0,-1.0,LOSS,43
4560,2026-03-17 07:15:00,7,A_WME_strict,BTCUSDT,15m,LONG,A,80.9,True,False,0.7247,5,1,True,74403.62,73416.091928,0,-1.0,LOSS,26
4590,2026-03-17 14:45:00,14,A_WME_strict,BTCUSDT,15m,LONG,A,92.9,False,False,1.1956,3,1,True,74381.7,73485.495669,2,-0.359,LOSS,60
4634,2026-03-18 01:45:00,1,A_WME_strict,BTCUSDT,15m,LONG,B,72.8,False,False,0.5212,4,1,True,74072.3,73369.586972,2,0.28,WIN,3
4844,2026-03-20 06:15:00,6,A_WME_strict,BTCUSDT,15m,SHORT,B,60.0,False,False,-0.3301,10,1,False,70484.08,71121.798415,2,-0.438,LOSS,7
4891,2026-03-20 18:00:00,18,A_WME_strict,BTCUSDT,15m,LONG,A,85.0,False,False,1.3615,1,4,True,69973.05,69032.957466,3,0.579,WIN,16
5123,2026-03-23 04:00:00,4,A_WME_strict,BTCUSDT,15m,SHORT,B,72.6,False,False,-0.5083,3,1,False,68168.19,68947.908687,2,0.25,WIN,10
5203,2026-03-24 00:00:00,0,A_WME_strict,BTCUSDT,15m,LONG,B,73.6,False,False,0.5753,2,1,True,70786.55,70060.33391,1,0.291,WIN,29
5360,2026-03-25 15:15:00,15,A_WME_strict,BTCUSDT,15m,SHORT,B,62.9,False,False,-0.5264,14,2,False,71023.6,71907.897094,3,1.264,WIN,60
5454,2026-03-26 14:45:00,14,A_WME_strict,BTCUSDT,15m,SHORT,B,71.2,False,False,-0.413,3,1,False,69479.92,70163.748205,1,-0.025,WIN,1
5504,2026-03-27 03:15:00,3,A_WME_strict,BTCUSDT,15m,SHORT,A,76.8,False,False,-0.787,4,2,False,68839.31,69417.786227,1,0.711,WIN,3
5594,2026-03-28 01:45:00,1,A_WME_strict,BTCUSDT,15m,SHORT,B,61.9,False,False,-0.4581,6,1,False,66178.85,66702.010697,1,0.113,WIN,2
5718,2026-03-29 08:45:00,8,A_WME_strict,BTCUSDT,15m,LONG,B,62.5,False,False,0.4972,6,1,True,66724.0,66351.145324,1,0.225,WIN,9
