bar_index,timestamp,hour_of_day,config,symbol,timeframe,direction,grade,confidence,in_lvn,in_hvn,wme_speed,wme_sweep_bars_ago,wme_sweep_count_20,htf_bull,entry_price,stop_loss,targets_hit,r_multiple,outcome,bars_to_outcome
1137,2026-02-09 15:30:00,15,C_WME_CVD,BTCUSDT,15m,SHORT,A,92.2,False,False,-1.1481,3,2,False,69542.29,71011.126174,0,-1.0,LOSS,10
1801,2026-02-16 13:30:00,13,C_WME_CVD,BTCUSDT,15m,SHORT,A,95.0,False,False,-3.0246,1,2,False,68430.65,69473.127755,2,-0.01,WIN,1
2107,2026-02-19 18:00:00,18,C_WME_CVD,BTCUSDT,15m,SHORT,B,65.1,False,False,-0.6724,2,3,False,66639.09,67711.519317,0,-1.0,LOSS,46
2184,2026-02-20 13:15:00,13,C_WME_CVD,BTCUSDT,15m,SHORT,B,61.5,False,False,-0.4361,12,1,False,67202.01,67867.667133,3,0.366,WIN,7
2416,2026-02-22 23:15:00,23,C_WME_CVD,BTCUSDT,15m,SHORT,A,95.0,False,False,-1.3444,1,2,False,67606.64,67984.05908,2,0.526,WIN,5
2600,2026-02-24 21:15:00,21,C_WME_CVD,BTCUSDT,15m,SHORT,B,68.2,False,False,-0.8804,8,1,False,63916.22,64706.046842,0,-1.0,LOSS,15
2833,2026-02-27 07:30:00,7,C_WME_CVD,BTCUSDT,15m,SHORT,B,60.4,False,False,-0.3623,12,1,False,67549.02,68188.642875,1,1.026,WIN,10
3756,2026-03-08 22:15:00,22,C_WME_CVD,BTCUSDT,15m,SHORT,A,85.0,False,False,-2.9268,6,2,False,65915.08,66880.665196,0,-1.0,LOSS,19
3794,2026-03-09 07:45:00,7,C_WME_CVD,BTCUSDT,15m,LONG,A,75.3,False,False,0.6834,1,2,True,67555.13,66577.964288,2,-0.01,WIN,1
4108,2026-03-12 14:15:00,14,C_WME_CVD,BTCUSDT,15m,LONG,A,95.0,False,False,1.3409,1,1,True,69953.32,69037.977523,2,0.847,WIN,39
4256,2026-03-14 03:15:00,3,C_WME_CVD,BTCUSDT,15m,LONG,A,96.8,True,False,1.1177,6,2,True,71041.67,70441.665152,1,-0.655,LOSS,13
4306,2026-03-14 15:45:00,15,C_WME_CVD,BTCUSDT,15m,SHORT,B,60.9,False,False,-0.3957,14,1,False,70580.09,71002.077935,0,-1.0,LOSS,29
4597,2026-03-17 16:30:00,16,C_WME_CVD,BTCUSDT,15m,LONG,B,65.1,False,False,0.6763,5,2,True,74136.66,73103.604537,1,0.638,WIN,10
4891,2026-03-20 18:00:00,18,C_WME_CVD,BTCUSDT,15m,LONG,A,85.0,False,False,1.3615,1,4,True,69973.05,69032.957466,3,0.579,WIN,16
5365,2026-03-25 16:30:00,16,C_WME_CVD,BTCUSDT,15m,LONG,A,95.0,False,False,1.8578,4,2,True,71467.51,70446.666772,0,-1.0,LOSS,52
5454,2026-03-26 14:45:00,14,C_WME_CVD,BTCUSDT,15m,SHORT,B,71.2,False,False,-0.413,3,1,False,69479.92,70163.748205,1,-0.025,WIN,1
5939,2026-03-31 16:00:00,16,C_WME_CVD,BTCUSDT,15m,SHORT,B,61.7,False,False,-0.4493,7,1,False,66931.28,68039.744885,0,-1.0,LOSS,4
6022,2026-04-01 12:45:00,12,C_WME_CVD,BTCUSDT,15m,LONG,B,74.4,False,False,0.6297,0,0,True,68393.6,67721.171423,1,1.054,WIN,17
6509,2026-04-06 14:30:00,14,C_WME_CVD,BTCUSDT,15m,LONG,A,78.7,False,False,0.9144,1,1,True,69462.66,68811.393444,1,0.151,WIN,1
7414,2026-04-16 00:45:00,0,C_WME_CVD,BTCUSDT,15m,LONG,A,75.8,False,False,0.7183,1,2,True,74815.1,74085.967664,1,-0.033,WIN,1
7464,2026-04-16 13:15:00,13,C_WME_CVD,BTCUSDT,15m,LONG,A,81.8,False,False,1.1222,11,1,True,74975.5,74454.086554,0,-1.0,LOSS,2
7857,2026-04-20 15:30:00,15,C_WME_CVD,BTCUSDT,15m,LONG,A,85.0,False,False,1.8985,1,3,True,75580.57,74488.238083,0,0.503,WIN,60
8107,2026-04-23 06:00:00,6,C_WME_CVD,BTCUSDT,15m,LONG,B,67.2,False,False,0.8121,9,1,True,78196.63,77564.220985,1,-0.613,LOSS,12
8325,2026-04-25 12:30:00,12,C_WME_CVD,BTCUSDT,15m,SHORT,A,81.4,False,False,-1.0955,7,2,False,77562.14,77792.820206,1,0.191,WIN,13
8980,2026-05-02 08:15:00,8,C_WME_CVD,BTCUSDT,15m,LONG,B,61.5,False,False,0.4342,13,1,True,78283.4,77988.623969,3,0.558,WIN,53
9868,2026-05-11 14:15:00,14,C_WME_CVD,BTCUSDT,15m,LONG,B,60.1,False,False,0.3376,2,3,True,80750.01,80169.069264,2,0.936,WIN,60
