bar_index,timestamp,hour_of_day,config,symbol,timeframe,direction,grade,confidence,in_lvn,in_hvn,wme_speed,wme_sweep_bars_ago,wme_sweep_count_20,htf_bull,atr_percentile,trend_speed_now,trend_speed_prev,trend_speed_accel_ok,entry_price,stop_loss,targets_hit,r_multiple,outcome,bars_to_outcome
184,2026-01-30 18:00:00,18,G_STRICT_SESSION,BTCUSDT,15m,SHORT,B,61.2,False,False,-0.412,12,1,False,79.8,,,,82823.7,84357.94455,2,0.281,WIN,1
1323,2026-02-11 14:45:00,14,G_STRICT_SESSION,BTCUSDT,15m,SHORT,A,85.0,False,False,-1.5433,4,3,False,100.0,,,,66546.9,68052.056118,1,-0.246,WIN,1
1611,2026-02-14 14:45:00,14,G_STRICT_SESSION,BTCUSDT,15m,LONG,A,82.1,True,False,0.8089,6,1,True,63.6,,,,69674.9,68868.278753,0,0.911,WIN,60
2104,2026-02-19 18:00:00,18,G_STRICT_SESSION,BTCUSDT,15m,SHORT,B,64.6,False,False,-0.6394,2,3,False,99.0,,,,66610.5,67733.660547,0,-1.0,LOSS,46
2275,2026-02-21 12:45:00,12,G_STRICT_SESSION,BTCUSDT,15m,LONG,B,73.4,False,False,0.5616,0,1,True,12.1,,,,68180.9,67846.476386,1,-0.329,WIN,1
2828,2026-02-27 07:00:00,7,G_STRICT_SESSION,BTCUSDT,15m,SHORT,B,61.1,False,False,-0.4037,10,1,False,5.1,,,,67613.3,68299.272005,2,0.674,WIN,12
3048,2026-03-01 14:00:00,14,G_STRICT_SESSION,BTCUSDT,15m,LONG,A,95.0,False,False,1.9305,2,1,True,17.2,,,,67037.0,66141.128333,1,-0.698,LOSS,11
4105,2026-03-12 14:15:00,14,G_STRICT_SESSION,BTCUSDT,15m,LONG,A,94.7,False,False,1.3107,1,2,True,68.7,,,,69907.9,68975.909176,2,0.949,WIN,39
4291,2026-03-14 12:45:00,12,G_STRICT_SESSION,BTCUSDT,15m,SHORT,B,70.6,False,False,-0.3754,2,2,False,1.0,,,,70729.8,71159.827779,1,0.325,WIN,7
4587,2026-03-17 14:45:00,14,G_STRICT_SESSION,BTCUSDT,15m,LONG,A,91.7,False,False,1.1132,3,1,True,28.3,,,,74344.0,73408.360663,1,-0.336,LOSS,60
4888,2026-03-20 18:00:00,18,G_STRICT_SESSION,BTCUSDT,15m,LONG,A,75.0,False,False,1.3479,11,3,True,76.8,,,,69939.0,68962.118094,3,0.56,WIN,16
5083,2026-03-22 18:45:00,18,G_STRICT_SESSION,BTCUSDT,15m,SHORT,B,70.9,False,False,-0.3953,2,2,False,34.3,,,,68580.5,69108.90311,1,0.501,WIN,1
5451,2026-03-26 14:45:00,14,G_STRICT_SESSION,BTCUSDT,15m,SHORT,B,71.2,False,False,-0.4111,3,1,False,60.6,,,,69434.3,70155.302306,1,-0.015,WIN,1
6019,2026-04-01 12:45:00,12,G_STRICT_SESSION,BTCUSDT,15m,LONG,A,75.5,False,False,0.7023,0,0,True,6.1,,,,68365.4,67676.33981,1,0.146,WIN,49
6136,2026-04-02 18:00:00,18,G_STRICT_SESSION,BTCUSDT,15m,SHORT,A,80.4,False,False,-1.0269,2,3,False,73.7,,,,66676.8,67569.314403,2,0.14,WIN,30
6218,2026-04-03 14:30:00,14,G_STRICT_SESSION,BTCUSDT,15m,LONG,B,64.9,False,False,0.6622,5,2,True,48.5,,,,66766.2,66207.1473,2,0.361,WIN,9
6284,2026-04-04 07:00:00,7,G_STRICT_SESSION,BTCUSDT,15m,LONG,B,60.2,False,False,0.3454,10,1,True,5.1,,,,66973.2,66786.671121,1,0.094,WIN,3
6506,2026-04-06 14:30:00,14,G_STRICT_SESSION,BTCUSDT,15m,LONG,A,77.4,False,False,0.8298,3,1,True,77.8,,,,69421.9,68717.653105,1,0.181,WIN,1
7457,2026-04-16 12:15:00,12,G_STRICT_SESSION,BTCUSDT,15m,LONG,B,69.4,False,False,0.9582,7,1,True,8.1,,,,74663.7,74122.034037,2,0.361,WIN,4
7850,2026-04-20 14:30:00,14,G_STRICT_SESSION,BTCUSDT,15m,LONG,A,95.0,False,False,1.5643,0,1,True,100.0,,,,75287.8,74334.870019,0,0.59,WIN,60
8233,2026-04-24 14:15:00,14,G_STRICT_SESSION,BTCUSDT,15m,SHORT,A,79.9,False,False,-0.9964,4,2,False,49.5,,,,77663.8,78324.694585,2,0.111,WIN,3
8322,2026-04-25 12:30:00,12,G_STRICT_SESSION,BTCUSDT,15m,SHORT,A,84.7,True,False,-0.9767,7,1,False,20.2,,,,77520.2,77773.607399,3,0.469,WIN,13
8523,2026-04-27 14:45:00,14,G_STRICT_SESSION,BTCUSDT,15m,LONG,A,76.5,False,False,0.7663,3,1,True,50.5,,,,77781.0,77207.975319,0,-1.0,LOSS,2
8972,2026-05-02 07:00:00,7,G_STRICT_SESSION,BTCUSDT,15m,LONG,B,65.6,False,False,0.7059,8,2,True,1.0,,,,78276.3,77912.515848,2,0.602,WIN,58
8994,2026-05-02 12:30:00,12,G_STRICT_SESSION,BTCUSDT,15m,LONG,A,82.7,False,False,1.1817,2,3,True,6.1,,,,78181.7,77917.678439,2,0.665,WIN,14
9281,2026-05-05 12:15:00,12,G_STRICT_SESSION,BTCUSDT,15m,LONG,B,70.1,False,False,0.3391,2,2,True,12.1,,,,81181.5,80685.016293,1,-0.018,WIN,1
9453,2026-05-07 07:15:00,7,G_STRICT_SESSION,BTCUSDT,15m,LONG,A,81.1,False,False,1.0704,12,1,True,21.2,,,,81520.0,80957.720968,0,-1.0,LOSS,8
9865,2026-05-11 14:15:00,14,G_STRICT_SESSION,BTCUSDT,15m,LONG,B,70.2,False,False,0.3476,2,2,True,56.6,,,,80707.1,80097.78437,3,1.266,WIN,8
