bar_index,timestamp,hour_of_day,config,symbol,timeframe,direction,grade,confidence,in_lvn,in_hvn,wme_speed,wme_sweep_bars_ago,wme_sweep_count_20,htf_bull,atr_percentile,trend_speed_now,trend_speed_prev,trend_speed_accel_ok,entry_price,stop_loss,targets_hit,r_multiple,outcome,bars_to_outcome
2275,2026-02-21 12:45:00,12,L_G_B_71214,BTCUSDT,15m,LONG,B,73.4,False,False,0.5616,0,1,True,12.1,,,,68180.9,67846.476386,1,-0.329,WIN,1
2828,2026-02-27 07:00:00,7,L_G_B_71214,BTCUSDT,15m,SHORT,B,61.1,False,False,-0.4037,10,1,False,5.1,,,,67613.3,68299.272005,2,0.674,WIN,12
4291,2026-03-14 12:45:00,12,L_G_B_71214,BTCUSDT,15m,SHORT,B,70.6,False,False,-0.3754,2,2,False,1.0,,,,70729.8,71159.827779,1,0.325,WIN,7
5451,2026-03-26 14:45:00,14,L_G_B_71214,BTCUSDT,15m,SHORT,B,71.2,False,False,-0.4111,3,1,False,60.6,,,,69434.3,70155.302306,1,-0.015,WIN,1
6026,2026-04-01 14:30:00,14,L_G_B_71214,BTCUSDT,15m,LONG,B,68.1,False,False,0.8736,5,2,True,59.6,,,,68372.2,67507.892317,1,0.02,LOSS,43
6218,2026-04-03 14:30:00,14,L_G_B_71214,BTCUSDT,15m,LONG,B,64.9,False,False,0.6622,5,2,True,48.5,,,,66766.2,66207.1473,2,0.361,WIN,9
6284,2026-04-04 07:00:00,7,L_G_B_71214,BTCUSDT,15m,LONG,B,60.2,False,False,0.3454,10,1,True,5.1,,,,66973.2,66786.671121,1,0.094,WIN,3
7457,2026-04-16 12:15:00,12,L_G_B_71214,BTCUSDT,15m,LONG,B,69.4,False,False,0.9582,7,1,True,8.1,,,,74663.7,74122.034037,2,0.361,WIN,4
8972,2026-05-02 07:00:00,7,L_G_B_71214,BTCUSDT,15m,LONG,B,65.6,False,False,0.7059,8,2,True,1.0,,,,78276.3,77912.515848,2,0.602,WIN,58
9002,2026-05-02 14:30:00,14,L_G_B_71214,BTCUSDT,15m,LONG,B,60.6,False,False,0.3718,0,4,True,19.2,,,,78362.8,78074.750764,1,0.455,WIN,6
9281,2026-05-05 12:15:00,12,L_G_B_71214,BTCUSDT,15m,LONG,B,70.1,False,False,0.3391,2,2,True,12.1,,,,81181.5,80685.016293,1,-0.018,WIN,1
9865,2026-05-11 14:15:00,14,L_G_B_71214,BTCUSDT,15m,LONG,B,70.2,False,False,0.3476,2,2,True,56.6,,,,80707.1,80097.78437,3,1.266,WIN,8
