bar_index,timestamp,hour_of_day,symbol,timeframe,direction,grade,confidence,regime,score_structure,score_location,score_momentum,score_orderflow,score_total,cvd_move_ratio,pavp_override,entry_price,target_price,stop_price,outcome,bars_to_outcome
150,2026-04-12 15:00:00,15,BTCUSDT,15m,SHORT,A,85.0,TRENDING_DOWN,25.0,7.0,-9.0,12.0,85.0,0.9039,False,70838.08,70416.840747,71072.101807,LOSS,11
250,2026-04-13 16:00:00,16,BTCUSDT,15m,LONG,B,69.0,TRENDING_UP,-10.0,7.0,12.0,10.0,69.0,0.2624,False,72030.33,72759.856141,71625.037699,WIN,13
280,2026-04-13 23:30:00,23,BTCUSDT,15m,LONG,A,100.0,TRENDING_UP,20.0,7.0,12.0,23.0,100.0,0.2719,False,74562.65,75479.556632,74053.257427,LOSS,6
360,2026-04-14 19:30:00,19,BTCUSDT,15m,SHORT,B,71.0,TRENDING_DOWN,15.0,5.0,-9.0,10.0,71.0,0.9994,False,74119.19,73169.540389,74646.773117,LOSS,18
380,2026-04-15 00:30:00,0,BTCUSDT,15m,LONG,B,73.0,TRENDING_UP,10.0,-10.0,0.0,23.0,73.0,0.4492,False,74554.89,75293.589934,74144.501148,LOSS,19
470,2026-04-15 23:00:00,23,BTCUSDT,15m,LONG,B,71.0,TRENDING_UP,-10.0,7.0,12.0,12.0,71.0,0.9326,False,74748.92,75465.874679,74350.611845,LOSS,45
520,2026-04-16 11:30:00,11,BTCUSDT,15m,SHORT,B,71.0,REVERSAL,25.0,5.0,-9.0,0.0,71.0,1.4435,False,74453.88,74021.725244,74693.965976,LOSS,2
540,2026-04-16 16:30:00,16,BTCUSDT,15m,LONG,B,72.0,TRENDING_UP,10.0,-10.0,10.0,12.0,72.0,0.6046,False,74324.81,75225.648789,73824.344006,WIN,12
550,2026-04-16 19:00:00,19,BTCUSDT,15m,LONG,A,80.0,TRENDING_UP,15.0,7.0,2.0,6.0,80.0,1.7295,False,74823.97,75698.201569,74338.285795,TIMEOUT,50
560,2026-04-16 21:30:00,21,BTCUSDT,15m,LONG,B,71.0,TRENDING_UP,20.0,7.0,10.0,-16.0,71.0,2.1044,False,74940.23,75735.48192,74498.423378,WIN,45
570,2026-04-17 00:00:00,0,BTCUSDT,15m,LONG,B,73.0,TRENDING_UP,15.0,7.0,-12.0,13.0,73.0,0.5707,False,74959.0,75554.697549,74628.056917,LOSS,7
630,2026-04-17 15:00:00,15,BTCUSDT,15m,LONG,A,100.0,TRENDING_UP,30.0,7.0,12.0,25.0,100.0,0.1733,False,77831.99,78995.818974,77185.418348,LOSS,9
