bar_index,timestamp,hour_of_day,symbol,timeframe,direction,grade,confidence,level_type,in_lvn,cvd_signal,cvd_seq_length,bull_val,bear_vah,entry_price,stop_loss,targets_hit,r_multiple,outcome,bars_to_outcome
121,2026-01-30 01:00:00,1,BTCUSDT,15m,LONG,B,68.0,KEY_LEVEL,False,BULLISH_ENTRY,1,0.0,84385.5456,84143.3,83356.221015,0,-1.0,LOSS,2
126,2026-01-30 02:15:00,2,BTCUSDT,15m,LONG,B,68.0,KEY_LEVEL,False,BULLISH_ENTRY,1,81593.75,82341.979,81465.36,80333.59454,4,0.637,WIN,60
139,2026-01-30 05:30:00,5,BTCUSDT,15m,LONG,A,76.0,KEY_LEVEL,False,BULLISH_ENTRY,2,81154.0,82437.667,83108.37,82030.135563,0,-1.0,LOSS,51
149,2026-01-30 08:00:00,8,BTCUSDT,15m,LONG,B,68.0,KEY_LEVEL,False,BULLISH_ENTRY,1,82605.477,82736.4604,82904.9,81667.447374,1,-0.001,TIMEOUT,60
155,2026-01-30 09:30:00,9,BTCUSDT,15m,LONG,B,68.0,KEY_LEVEL,False,BULLISH_ENTRY,1,82603.408,82820.0748,82485.65,81360.939744,3,0.095,TIMEOUT,60
170,2026-01-30 13:15:00,13,BTCUSDT,15m,LONG,A,76.0,KEY_LEVEL,False,BULLISH_ENTRY,2,82709.96,83018.41,82714.0,81821.941673,3,0.113,TIMEOUT,60
184,2026-01-30 16:45:00,16,BTCUSDT,15m,LONG,B,68.0,KEY_LEVEL,False,BULLISH_ENTRY,1,82927.05,0.0,83149.0,81912.470889,0,-1.0,LOSS,6
191,2026-01-30 18:30:00,18,BTCUSDT,15m,LONG,B,68.0,KEY_LEVEL,False,BULLISH_ENTRY,1,0.0,82585.811,83134.78,80901.271515,1,-0.112,TIMEOUT,60
201,2026-01-30 21:00:00,21,BTCUSDT,15m,LONG,A,76.0,KEY_LEVEL,False,BULLISH_ENTRY,2,83554.4158,84258.8528,84050.17,82189.616553,2,0.025,TIMEOUT,60
216,2026-01-31 00:45:00,0,BTCUSDT,15m,LONG,B,68.0,KEY_LEVEL,False,BULLISH_ENTRY,1,83795.0166,84241.0088,84067.83,83243.561196,0,-1.0,LOSS,29
223,2026-01-31 02:30:00,2,BTCUSDT,15m,LONG,A,83.0,LVN,True,BULLISH_ENTRY,1,83972.9224,84196.1136,84138.66,83096.183519,2,-0.532,LOSS,23
236,2026-01-31 05:45:00,5,BTCUSDT,15m,LONG,B,68.0,KEY_LEVEL,False,BULLISH_ENTRY,1,84011.97,84199.17,84000.01,83502.113237,1,-0.627,LOSS,7
242,2026-01-31 07:15:00,7,BTCUSDT,15m,LONG,B,68.0,KEY_LEVEL,False,BULLISH_ENTRY,1,83688.415,83907.0248,83700.16,83248.001532,0,-1.0,LOSS,3
261,2026-01-31 12:00:00,12,BTCUSDT,15m,LONG,A,76.0,KEY_LEVEL,False,BULLISH_ENTRY,2,83022.2214,83169.235,82842.66,82428.976201,0,-1.0,LOSS,8
267,2026-01-31 13:30:00,13,BTCUSDT,15m,LONG,B,68.0,KEY_LEVEL,False,BULLISH_ENTRY,1,82732.6,82955.2,82649.79,82215.971699,1,-0.674,LOSS,3
273,2026-01-31 15:00:00,15,BTCUSDT,15m,LONG,B,68.0,KEY_LEVEL,False,BULLISH_ENTRY,1,80888.0,0.0,81265.88,80372.849759,0,-1.0,LOSS,7
282,2026-01-31 17:15:00,17,BTCUSDT,15m,LONG,A,84.0,KEY_LEVEL,False,BULLISH_ENTRY,3,80862.88,81783.808,79120.1,76928.351795,0,-1.0,LOSS,5
291,2026-01-31 19:30:00,19,BTCUSDT,15m,LONG,A,92.0,KEY_LEVEL,False,BULLISH_ENTRY,4,77453.514,78201.0056,77520.01,75533.790954,2,0.161,TIMEOUT,60
307,2026-01-31 23:30:00,23,BTCUSDT,15m,LONG,B,68.0,KEY_LEVEL,False,BULLISH_ENTRY,1,78144.92,0.0,78839.36,77162.959976,0,0.0,TIMEOUT,60
325,2026-02-01 04:00:00,4,BTCUSDT,15m,LONG,B,68.0,KEY_LEVEL,False,BULLISH_ENTRY,1,78579.0472,78871.6192,78964.13,77635.047989,2,-0.515,LOSS,42
334,2026-02-01 06:15:00,6,BTCUSDT,15m,LONG,B,68.0,KEY_LEVEL,False,BULLISH_ENTRY,1,78527.13,79062.37,78710.47,77781.759835,2,0.166,WIN,14
344,2026-02-01 08:45:00,8,BTCUSDT,15m,LONG,B,68.0,KEY_LEVEL,False,BULLISH_ENTRY,1,78252.64,0.0,78604.02,77942.993855,0,-1.0,LOSS,22
369,2026-02-01 15:00:00,15,BTCUSDT,15m,LONG,B,68.0,KEY_LEVEL,False,BULLISH_ENTRY,1,77812.13,0.0,77618.62,77093.478028,0,-1.0,LOSS,1
386,2026-02-01 19:15:00,19,BTCUSDT,15m,LONG,B,68.0,KEY_LEVEL,False,BULLISH_ENTRY,1,77727.27,78315.822,77700.0,76444.510434,0,-1.0,LOSS,10
391,2026-02-01 20:30:00,20,BTCUSDT,15m,LONG,B,68.0,KEY_LEVEL,False,BULLISH_ENTRY,1,0.0,77167.3128,77416.62,75352.906513,2,-0.466,LOSS,27
404,2026-02-01 23:45:00,23,BTCUSDT,15m,LONG,A,76.0,KEY_LEVEL,False,BULLISH_ENTRY,2,76270.2524,0.0,76968.21,75346.076647,1,-0.457,LOSS,14
417,2026-02-02 03:00:00,3,BTCUSDT,15m,LONG,A,76.0,KEY_LEVEL,False,BULLISH_ENTRY,2,76619.69,77364.7056,75890.1,74567.731607,6,1.482,WIN,46
429,2026-02-02 06:00:00,6,BTCUSDT,15m,LONG,B,68.0,KEY_LEVEL,False,BULLISH_ENTRY,1,74972.7752,76011.2564,75647.75,73418.592392,4,0.584,WIN,25
436,2026-02-02 07:45:00,7,BTCUSDT,15m,LONG,B,68.0,KEY_LEVEL,False,BULLISH_ENTRY,1,76008.742,76670.4004,76660.79,74524.914108,4,0.233,WIN,18
449,2026-02-02 11:00:00,11,BTCUSDT,15m,LONG,B,68.0,KEY_LEVEL,False,BULLISH_ENTRY,1,74957.51,77876.69,77750.0,76073.774612,1,-0.099,WIN,1
459,2026-02-02 13:30:00,13,BTCUSDT,15m,LONG,B,68.0,KEY_LEVEL,False,BULLISH_ENTRY,1,77800.0,78072.9438,77875.04,76773.673846,2,0.114,WIN,1
476,2026-02-02 17:45:00,17,BTCUSDT,15m,LONG,B,68.0,KEY_LEVEL,False,BULLISH_ENTRY,1,78711.17,79190.7104,78988.64,77359.04874,1,-0.021,TIMEOUT,60
482,2026-02-02 19:15:00,19,BTCUSDT,15m,LONG,B,68.0,KEY_LEVEL,False,BULLISH_ENTRY,1,78633.744,79199.0528,78480.02,77209.23946,3,0.241,TIMEOUT,60
488,2026-02-02 20:45:00,20,BTCUSDT,15m,LONG,A,83.0,LVN,True,BULLISH_ENTRY,1,78598.9252,79215.99,78008.59,77024.374641,3,0.633,WIN,60
509,2026-02-03 02:00:00,2,BTCUSDT,15m,LONG,A,76.0,KEY_LEVEL,False,BULLISH_ENTRY,2,78825.2112,78998.802,78527.78,78154.54869,0,-1.0,LOSS,3
559,2026-02-03 14:30:00,14,BTCUSDT,15m,LONG,A,76.0,KEY_LEVEL,False,BULLISH_ENTRY,2,78220.2672,78345.3864,77875.71,77641.346005,0,-1.0,LOSS,1
569,2026-02-03 17:00:00,17,BTCUSDT,15m,LONG,B,68.0,KEY_LEVEL,False,BULLISH_ENTRY,1,76400.0,77404.9836,75699.08,74988.490928,0,-1.0,LOSS,3
577,2026-02-03 19:00:00,19,BTCUSDT,15m,LONG,A,92.0,KEY_LEVEL,False,BULLISH_ENTRY,4,0.0,74581.3176,74582.3,71379.904272,2,-0.051,TIMEOUT,60
596,2026-02-03 23:45:00,23,BTCUSDT,15m,LONG,A,76.0,KEY_LEVEL,False,BULLISH_ENTRY,2,75428.16,76393.524,75770.21,74233.318544,2,0.12,TIMEOUT,60
607,2026-02-04 02:30:00,2,BTCUSDT,15m,LONG,B,68.0,KEY_LEVEL,False,BULLISH_ENTRY,1,75428.16,76389.6144,75999.91,74826.209659,2,-0.379,LOSS,46
617,2026-02-04 05:00:00,5,BTCUSDT,15m,LONG,B,68.0,KEY_LEVEL,False,BULLISH_ENTRY,1,76396.1662,76760.0,76476.81,75344.618703,2,-0.577,LOSS,34
622,2026-02-04 06:15:00,6,BTCUSDT,15m,LONG,B,68.0,KEY_LEVEL,False,BULLISH_ENTRY,1,76399.8148,76552.844,76486.01,75560.599801,1,-0.673,LOSS,29
638,2026-02-04 10:15:00,10,BTCUSDT,15m,LONG,A,76.0,KEY_LEVEL,False,BULLISH_ENTRY,2,76078.9936,76287.395,76115.46,75337.155321,1,-0.66,LOSS,13
644,2026-02-04 11:45:00,11,BTCUSDT,15m,LONG,B,68.0,KEY_LEVEL,False,BULLISH_ENTRY,1,75746.1626,0.0,76017.25,75170.429013,1,-0.67,LOSS,8
656,2026-02-04 14:45:00,14,BTCUSDT,15m,LONG,B,68.0,KEY_LEVEL,False,BULLISH_ENTRY,1,0.0,75444.861,74359.53,74050.048545,0,-1.0,LOSS,1
667,2026-02-04 17:30:00,17,BTCUSDT,15m,LONG,B,68.0,KEY_LEVEL,False,BULLISH_ENTRY,1,0.0,73393.7696,72769.18,70275.337279,1,-0.702,LOSS,47
680,2026-02-04 20:45:00,20,BTCUSDT,15m,LONG,B,68.0,KEY_LEVEL,False,BULLISH_ENTRY,1,73427.758,73935.296,73516.3,71682.128435,1,-0.731,LOSS,22
709,2026-02-05 04:00:00,4,BTCUSDT,15m,LONG,A,84.0,KEY_LEVEL,False,BULLISH_ENTRY,3,71345.95,71768.4958,70950.65,69413.192536,3,-0.323,LOSS,33
715,2026-02-05 05:30:00,5,BTCUSDT,15m,LONG,B,68.0,KEY_LEVEL,False,BULLISH_ENTRY,1,70866.6858,71577.6866,71019.55,68593.576294,5,-0.23,LOSS,38
720,2026-02-05 06:45:00,6,BTCUSDT,15m,LONG,B,68.0,KEY_LEVEL,False,BULLISH_ENTRY,1,70534.3624,70907.2728,70951.51,69143.384922,1,-0.49,LOSS,33
735,2026-02-05 10:30:00,10,BTCUSDT,15m,LONG,A,76.0,KEY_LEVEL,False,BULLISH_ENTRY,2,71085.2118,71818.518,71365.95,70284.889885,0,-1.0,LOSS,3
744,2026-02-05 12:45:00,12,BTCUSDT,15m,LONG,B,68.0,KEY_LEVEL,False,BULLISH_ENTRY,1,69922.0,69883.245,69563.57,67646.97164,3,-0.381,LOSS,10
749,2026-02-05 14:00:00,14,BTCUSDT,15m,LONG,B,68.0,KEY_LEVEL,False,BULLISH_ENTRY,1,69230.5776,69825.6254,69740.76,68146.014917,2,-0.605,LOSS,4
758,2026-02-05 16:15:00,16,BTCUSDT,15m,LONG,A,76.0,KEY_LEVEL,False,BULLISH_ENTRY,2,0.0,67746.026,68175.28,64538.43874,2,-0.684,LOSS,16
764,2026-02-05 17:45:00,17,BTCUSDT,15m,LONG,B,68.0,KEY_LEVEL,False,BULLISH_ENTRY,1,66462.0,68264.3408,66181.69,64354.19393,0,-1.0,LOSS,10
769,2026-02-05 19:00:00,19,BTCUSDT,15m,LONG,B,68.0,KEY_LEVEL,False,BULLISH_ENTRY,1,66044.362,67109.8824,66300.03,63648.727508,2,-0.652,LOSS,5
775,2026-02-05 20:30:00,20,BTCUSDT,15m,LONG,B,68.0,KEY_LEVEL,False,BULLISH_ENTRY,1,0.0,64571.701,63666.94,61176.141124,1,-0.676,LOSS,14
820,2026-02-06 07:45:00,7,BTCUSDT,15m,LONG,A,84.0,KEY_LEVEL,False,BULLISH_ENTRY,3,64654.11,65961.1046,64856.0,63030.713266,3,1.121,WIN,32
825,2026-02-06 09:00:00,9,BTCUSDT,15m,LONG,B,68.0,KEY_LEVEL,False,BULLISH_ENTRY,1,64639.59,65384.3044,65114.44,62924.905078,3,0.597,WIN,27
835,2026-02-06 11:30:00,11,BTCUSDT,15m,LONG,B,68.0,KEY_LEVEL,False,BULLISH_ENTRY,1,65119.2,66163.0,66322.23,64548.358967,1,-0.058,WIN,1
841,2026-02-06 13:00:00,13,BTCUSDT,15m,LONG,B,68.0,KEY_LEVEL,False,BULLISH_ENTRY,1,65492.2572,66631.32,67037.01,65194.20431,1,-0.153,WIN,1
848,2026-02-06 14:45:00,14,BTCUSDT,15m,LONG,B,68.0,KEY_LEVEL,False,BULLISH_ENTRY,1,67042.01,67010.0512,68194.89,66639.610544,0,0.0,TIMEOUT,60
875,2026-02-06 21:30:00,21,BTCUSDT,15m,LONG,B,68.0,KEY_LEVEL,False,BULLISH_ENTRY,1,69891.062,70717.708,70285.99,68537.006703,1,0.141,WIN,2
897,2026-02-07 03:00:00,3,BTCUSDT,15m,LONG,B,68.0,KEY_LEVEL,False,BULLISH_ENTRY,1,70008.736,70225.6344,70741.07,69083.470932,2,-0.148,WIN,1
911,2026-02-07 06:30:00,6,BTCUSDT,15m,LONG,A,84.0,KEY_LEVEL,False,BULLISH_ENTRY,3,69879.75,70384.5896,70063.41,68882.950996,0,-1.0,LOSS,1
916,2026-02-07 07:45:00,7,BTCUSDT,15m,LONG,B,68.0,KEY_LEVEL,False,BULLISH_ENTRY,1,67556.23,0.0,68087.14,66623.694222,1,0.365,WIN,60
926,2026-02-07 10:15:00,10,BTCUSDT,15m,LONG,B,68.0,KEY_LEVEL,False,BULLISH_ENTRY,1,68339.2064,68772.2,67946.2,66341.293057,4,0.368,WIN,60
939,2026-02-07 13:30:00,13,BTCUSDT,15m,LONG,B,68.0,KEY_LEVEL,False,BULLISH_ENTRY,1,68934.8,69325.394,68902.15,67638.861317,1,0.105,TIMEOUT,60
978,2026-02-07 23:15:00,23,BTCUSDT,15m,LONG,B,68.0,KEY_LEVEL,False,BULLISH_ENTRY,1,0.0,69249.6284,69040.81,68171.196869,1,0.24,WIN,1
1022,2026-02-08 10:15:00,10,BTCUSDT,15m,LONG,B,68.0,KEY_LEVEL,False,BULLISH_ENTRY,1,70293.501,70453.15,70046.13,69378.42822,3,0.702,WIN,4
1052,2026-02-08 17:45:00,17,BTCUSDT,15m,LONG,B,68.0,KEY_LEVEL,False,BULLISH_ENTRY,1,70499.9432,70841.4132,70785.99,69786.887512,0,-1.0,LOSS,59
1064,2026-02-08 20:45:00,20,BTCUSDT,15m,LONG,B,68.0,KEY_LEVEL,False,BULLISH_ENTRY,1,70994.28,71222.61,70835.17,70182.771448,2,0.49,WIN,9
1070,2026-02-08 22:15:00,22,BTCUSDT,15m,LONG,B,68.0,KEY_LEVEL,False,BULLISH_ENTRY,1,70692.44,71427.73,70851.43,69932.403116,4,0.305,WIN,3
1077,2026-02-09 00:00:00,0,BTCUSDT,15m,LONG,B,68.0,KEY_LEVEL,False,BULLISH_ENTRY,1,0.0,70513.6204,70609.99,69022.557927,4,0.259,WIN,15
1087,2026-02-09 02:30:00,2,BTCUSDT,15m,LONG,A,76.0,KEY_LEVEL,False,BULLISH_ENTRY,2,70264.7856,70591.2528,70875.06,69165.182981,4,0.084,WIN,5
1092,2026-02-09 03:45:00,3,BTCUSDT,15m,LONG,B,68.0,KEY_LEVEL,False,BULLISH_ENTRY,1,70489.2184,70906.12,71307.56,69889.472035,1,-0.663,LOSS,19
1098,2026-02-09 05:15:00,5,BTCUSDT,15m,LONG,B,68.0,KEY_LEVEL,False,BULLISH_ENTRY,1,71038.4706,71237.4086,71024.0,69729.702904,1,-0.711,LOSS,13
1110,2026-02-09 08:15:00,8,BTCUSDT,15m,LONG,B,68.0,KEY_LEVEL,False,BULLISH_ENTRY,1,70329.68,70639.8776,70087.2,69576.071227,0,-1.0,LOSS,1
1115,2026-02-09 09:30:00,9,BTCUSDT,15m,LONG,A,84.0,KEY_LEVEL,False,BULLISH_ENTRY,3,69742.2972,70116.0,69691.7,68879.699394,0,-1.0,LOSS,4
1123,2026-02-09 11:30:00,11,BTCUSDT,15m,LONG,A,76.0,KEY_LEVEL,False,BULLISH_ENTRY,2,68572.419,68953.8832,68914.94,67721.994166,3,0.58,WIN,60
1130,2026-02-09 13:15:00,13,BTCUSDT,15m,LONG,B,68.0,KEY_LEVEL,False,BULLISH_ENTRY,1,68662.8574,69192.0,69270.0,68221.296568,2,0.624,WIN,60
1135,2026-02-09 14:30:00,14,BTCUSDT,15m,LONG,B,68.0,KEY_LEVEL,False,BULLISH_ENTRY,1,68411.9752,0.0,69176.47,67851.470575,2,0.543,WIN,60
1154,2026-02-09 19:15:00,19,BTCUSDT,15m,LONG,B,68.0,KEY_LEVEL,False,BULLISH_ENTRY,1,70266.8784,70790.4512,70676.47,69036.856635,2,-0.39,LOSS,45
1195,2026-02-10 05:30:00,5,BTCUSDT,15m,LONG,B,68.0,KEY_LEVEL,False,BULLISH_ENTRY,1,69552.388,69868.74,69366.68,68643.719601,0,-1.0,LOSS,24
1202,2026-02-10 07:15:00,7,BTCUSDT,15m,LONG,B,68.0,KEY_LEVEL,False,BULLISH_ENTRY,1,68852.43,68945.2,69091.99,68206.249613,1,-0.278,LOSS,29
1216,2026-02-10 10:45:00,10,BTCUSDT,15m,LONG,A,84.0,KEY_LEVEL,False,BULLISH_ENTRY,3,69164.6594,69256.441,68921.68,68243.849494,3,0.158,LOSS,15
1227,2026-02-10 13:30:00,13,BTCUSDT,15m,LONG,A,76.0,KEY_LEVEL,False,BULLISH_ENTRY,2,68531.44,68537.7888,69029.99,67948.740111,1,-0.279,LOSS,4
1242,2026-02-10 17:15:00,17,BTCUSDT,15m,LONG,B,68.0,KEY_LEVEL,False,BULLISH_ENTRY,1,69286.1288,69623.7342,69671.23,68075.151037,2,-0.373,LOSS,40
1252,2026-02-10 19:45:00,19,BTCUSDT,15m,LONG,B,68.0,KEY_LEVEL,False,BULLISH_ENTRY,1,68726.3008,68912.189,69062.01,67976.993883,0,-1.0,LOSS,34
1289,2026-02-11 05:00:00,5,BTCUSDT,15m,LONG,B,68.0,KEY_LEVEL,False,BULLISH_ENTRY,1,67385.88,67836.3848,67717.8,66658.976803,2,-0.63,LOSS,7
1294,2026-02-11 06:15:00,6,BTCUSDT,15m,LONG,B,68.0,KEY_LEVEL,False,BULLISH_ENTRY,1,0.0,67276.608,67120.96,65977.855183,3,0.449,WIN,35
1299,2026-02-11 07:30:00,7,BTCUSDT,15m,LONG,A,76.0,KEY_LEVEL,False,BULLISH_ENTRY,2,66702.306,67118.3,67168.14,66024.080348,3,0.372,WIN,30
1304,2026-02-11 08:45:00,8,BTCUSDT,15m,LONG,B,68.0,KEY_LEVEL,False,BULLISH_ENTRY,1,66810.8962,67238.2608,66981.07,66111.454632,4,0.775,WIN,21
1310,2026-02-11 10:15:00,10,BTCUSDT,15m,LONG,B,68.0,KEY_LEVEL,False,BULLISH_ENTRY,1,66802.5832,67121.2866,66865.55,65946.787829,5,0.72,WIN,15
1332,2026-02-11 15:45:00,15,BTCUSDT,15m,LONG,B,68.0,KEY_LEVEL,False,BULLISH_ENTRY,1,66083.538,0.0,66519.73,65017.972441,0,0.0,TIMEOUT,60
1338,2026-02-11 17:15:00,17,BTCUSDT,15m,LONG,B,68.0,KEY_LEVEL,False,BULLISH_ENTRY,1,66398.12,66668.068,66655.4,64509.287017,3,0.038,TIMEOUT,60
1343,2026-02-11 18:30:00,18,BTCUSDT,15m,LONG,B,68.0,KEY_LEVEL,False,BULLISH_ENTRY,1,66069.264,66828.6648,67032.43,65288.248898,0,0.0,TIMEOUT,60
1366,2026-02-12 00:15:00,0,BTCUSDT,15m,LONG,B,68.0,KEY_LEVEL,False,BULLISH_ENTRY,1,67025.288,67037.3204,67392.13,66181.960385,2,0.196,TIMEOUT,60
1376,2026-02-12 02:45:00,2,BTCUSDT,15m,LONG,B,68.0,KEY_LEVEL,False,BULLISH_ENTRY,1,67418.0,67805.084,67439.14,66772.173952,0,-1.0,LOSS,9
