bar_index,timestamp,hour_of_day,config,asset,symbol,timeframe,direction,grade,confidence,in_lvn,in_hvn,wme_speed,wme_sweep_bars_ago,wme_sweep_count_20,htf_bull,entry_price,stop_loss,targets_hit,r_multiple,outcome,bars_to_outcome
159,2026-01-30 18:00:00,18,G_STRICT_SESSION,BTC,BTCUSDT,15m,SHORT,B,61.5,False,False,-0.4352,12,1,False,82871.83,84358.31269,2,0.149,WIN,1
1298,2026-02-11 14:45:00,14,G_STRICT_SESSION,BTC,BTCUSDT,15m,SHORT,A,85.0,False,False,-1.551,4,3,False,66584.6,68061.557945,1,-0.253,WIN,1
1586,2026-02-14 14:45:00,14,G_STRICT_SESSION,BTC,BTCUSDT,15m,LONG,B,66.9,False,False,0.7936,6,1,True,69701.66,68877.624137,0,0.902,WIN,60
2079,2026-02-19 18:00:00,18,G_STRICT_SESSION,BTC,BTCUSDT,15m,SHORT,B,65.1,False,False,-0.6724,2,3,False,66639.09,67711.519317,0,-1.0,LOSS,46
2255,2026-02-21 14:00:00,14,G_STRICT_SESSION,BTC,BTCUSDT,15m,LONG,B,61.9,False,False,0.4572,5,2,True,68267.99,67953.821333,1,-0.025,WIN,1
2803,2026-02-27 07:00:00,7,G_STRICT_SESSION,BTC,BTCUSDT,15m,SHORT,B,60.6,False,False,-0.3751,10,1,False,67653.86,68310.160703,2,0.624,WIN,12
3122,2026-03-02 14:45:00,14,G_STRICT_SESSION,BTC,BTCUSDT,15m,LONG,A,95.0,False,False,3.0549,2,1,True,67177.06,66158.710333,2,-0.305,WIN,1
3766,2026-03-09 07:45:00,7,G_STRICT_SESSION,BTC,BTCUSDT,15m,LONG,A,75.3,False,False,0.6834,1,2,True,67555.13,66577.964288,2,-0.01,WIN,1
3890,2026-03-10 14:45:00,14,G_STRICT_SESSION,BTC,BTCUSDT,15m,LONG,A,95.0,False,False,1.6596,1,1,True,71467.81,70278.343435,1,-0.655,WIN,1
4080,2026-03-12 14:15:00,14,G_STRICT_SESSION,BTC,BTCUSDT,15m,LONG,A,95.0,False,False,1.3409,1,1,True,69953.32,69037.977523,2,0.847,WIN,39
4266,2026-03-14 12:45:00,12,G_STRICT_SESSION,BTC,BTCUSDT,15m,SHORT,B,74.2,False,False,-0.6125,2,1,False,70780.59,71177.761773,0,-1.0,LOSS,43
4532,2026-03-17 07:15:00,7,G_STRICT_SESSION,BTC,BTCUSDT,15m,LONG,A,80.9,True,False,0.7247,5,1,True,74403.62,73416.091928,0,-1.0,LOSS,26
4562,2026-03-17 14:45:00,14,G_STRICT_SESSION,BTC,BTCUSDT,15m,LONG,A,92.9,False,False,1.1956,3,1,True,74381.7,73485.495669,2,-0.359,LOSS,60
4863,2026-03-20 18:00:00,18,G_STRICT_SESSION,BTC,BTCUSDT,15m,LONG,A,85.0,False,False,1.3615,1,4,True,69973.05,69032.957466,3,0.579,WIN,16
5426,2026-03-26 14:45:00,14,G_STRICT_SESSION,BTC,BTCUSDT,15m,SHORT,B,71.2,False,False,-0.413,3,1,False,69479.92,70163.748205,1,-0.025,WIN,1
5994,2026-04-01 12:45:00,12,G_STRICT_SESSION,BTC,BTCUSDT,15m,LONG,B,74.4,False,False,0.6297,0,0,True,68393.6,67721.171423,1,1.054,WIN,17
6111,2026-04-02 18:00:00,18,G_STRICT_SESSION,BTC,BTCUSDT,15m,SHORT,A,91.4,False,False,-1.0918,2,2,False,66696.19,67555.773709,0,-0.217,LOSS,60
6193,2026-04-03 14:30:00,14,G_STRICT_SESSION,BTC,BTCUSDT,15m,LONG,B,66.2,False,False,0.7447,2,3,True,66814.57,66289.516969,1,0.233,WIN,60
6259,2026-04-04 07:00:00,7,G_STRICT_SESSION,BTC,BTCUSDT,15m,LONG,B,61.1,False,False,0.4057,5,2,True,67002.92,66839.021951,1,0.125,WIN,3
6481,2026-04-06 14:30:00,14,G_STRICT_SESSION,BTC,BTCUSDT,15m,LONG,A,78.7,False,False,0.9144,1,1,True,69462.66,68811.393444,1,0.151,WIN,1
7432,2026-04-16 12:15:00,12,G_STRICT_SESSION,BTC,BTCUSDT,15m,LONG,B,69.6,False,False,0.9701,7,1,True,74713.25,74174.953469,1,-0.441,LOSS,6
7825,2026-04-20 14:30:00,14,G_STRICT_SESSION,BTC,BTCUSDT,15m,LONG,A,95.0,False,False,1.6276,0,1,True,75329.8,74408.887594,0,0.611,WIN,60
8208,2026-04-24 14:15:00,14,G_STRICT_SESSION,BTC,BTCUSDT,15m,SHORT,A,90.5,False,False,-1.0304,4,1,False,77702.14,78339.12427,3,-0.01,WIN,13
8297,2026-04-25 12:30:00,12,G_STRICT_SESSION,BTC,BTCUSDT,15m,SHORT,A,81.4,False,False,-1.0955,7,2,False,77562.14,77792.820206,1,0.191,WIN,13
8947,2026-05-02 07:00:00,7,G_STRICT_SESSION,BTC,BTCUSDT,15m,LONG,B,68.0,False,False,0.8678,8,2,True,78320.08,77981.31988,2,0.594,WIN,58
8977,2026-05-02 14:30:00,14,G_STRICT_SESSION,BTC,BTCUSDT,15m,LONG,B,61.1,False,False,0.407,0,4,True,78398.57,78135.076076,1,0.297,WIN,1
9428,2026-05-07 07:15:00,7,G_STRICT_SESSION,BTC,BTCUSDT,15m,LONG,A,81.9,False,False,1.1274,12,1,True,81561.36,81036.04839,0,-1.0,LOSS,8
9840,2026-05-11 14:15:00,14,G_STRICT_SESSION,BTC,BTCUSDT,15m,LONG,B,60.1,False,False,0.3376,2,3,True,80750.01,80169.069264,2,0.936,WIN,60
