bar_index,timestamp,hour_of_day,config,asset,symbol,timeframe,direction,grade,confidence,in_lvn,in_hvn,wme_speed,wme_sweep_bars_ago,wme_sweep_count_20,htf_bull,entry_price,stop_loss,targets_hit,r_multiple,outcome,bars_to_outcome
1586,2026-02-14 14:45:00,14,L_G_B_71214,BTC,BTCUSDT,15m,LONG,B,66.9,False,False,0.7936,6,1,True,69701.66,68877.624137,0,0.902,WIN,60
2255,2026-02-21 14:00:00,14,L_G_B_71214,BTC,BTCUSDT,15m,LONG,B,61.9,False,False,0.4572,5,2,True,68267.99,67953.821333,1,-0.025,WIN,1
2803,2026-02-27 07:00:00,7,L_G_B_71214,BTC,BTCUSDT,15m,SHORT,B,60.6,False,False,-0.3751,10,1,False,67653.86,68310.160703,2,0.624,WIN,12
2823,2026-02-27 12:00:00,12,L_G_B_71214,BTC,BTCUSDT,15m,SHORT,B,65.8,False,False,-0.7192,10,1,False,65988.97,66855.488524,1,0.026,WIN,1
3986,2026-03-11 14:45:00,14,L_G_B_71214,BTC,BTCUSDT,15m,LONG,B,64.6,False,False,0.642,10,2,True,70578.7,69300.848587,0,-1.0,LOSS,48
4266,2026-03-14 12:45:00,12,L_G_B_71214,BTC,BTCUSDT,15m,SHORT,B,74.2,False,False,-0.6125,2,1,False,70780.59,71177.761773,0,-1.0,LOSS,43
4533,2026-03-17 07:30:00,7,L_G_B_71214,BTC,BTCUSDT,15m,LONG,B,62.3,False,False,0.4886,6,1,True,74400.0,73453.747827,0,-1.0,LOSS,25
5426,2026-03-26 14:45:00,14,L_G_B_71214,BTC,BTCUSDT,15m,SHORT,B,71.2,False,False,-0.413,3,1,False,69479.92,70163.748205,1,-0.025,WIN,1
5994,2026-04-01 12:45:00,12,L_G_B_71214,BTC,BTCUSDT,15m,LONG,B,74.4,False,False,0.6297,0,0,True,68393.6,67721.171423,1,1.054,WIN,17
6193,2026-04-03 14:30:00,14,L_G_B_71214,BTC,BTCUSDT,15m,LONG,B,66.2,False,False,0.7447,2,3,True,66814.57,66289.516969,1,0.233,WIN,60
6259,2026-04-04 07:00:00,7,L_G_B_71214,BTC,BTCUSDT,15m,LONG,B,61.1,False,False,0.4057,5,2,True,67002.92,66839.021951,1,0.125,WIN,3
7432,2026-04-16 12:15:00,12,L_G_B_71214,BTC,BTCUSDT,15m,LONG,B,69.6,False,False,0.9701,7,1,True,74713.25,74174.953469,1,-0.441,LOSS,6
8209,2026-04-24 14:30:00,14,L_G_B_71214,BTC,BTCUSDT,15m,SHORT,B,68.6,False,False,-0.9065,5,1,False,77971.12,78633.784396,2,0.524,WIN,12
8298,2026-04-25 12:45:00,12,L_G_B_71214,BTC,BTCUSDT,15m,SHORT,B,68.0,False,False,-0.8684,8,2,False,77557.14,77784.417393,1,0.172,WIN,12
8947,2026-05-02 07:00:00,7,L_G_B_71214,BTC,BTCUSDT,15m,LONG,B,68.0,False,False,0.8678,8,2,True,78320.08,77981.31988,2,0.594,WIN,58
8975,2026-05-02 14:00:00,14,L_G_B_71214,BTC,BTCUSDT,15m,LONG,B,62.1,False,False,0.4719,3,4,True,78309.84,78067.722417,1,0.69,WIN,1
9429,2026-05-07 07:30:00,7,L_G_B_71214,BTC,BTCUSDT,15m,LONG,B,66.9,False,False,0.7919,13,1,True,81588.06,81068.398884,1,-0.812,LOSS,7
9840,2026-05-11 14:15:00,14,L_G_B_71214,BTC,BTCUSDT,15m,LONG,B,60.1,False,False,0.3376,2,3,True,80750.01,80169.069264,2,0.936,WIN,60
