bar_index,timestamp,hour_of_day,symbol,timeframe,direction,grade,confidence,regime,score_structure,score_location,score_momentum,score_orderflow,score_volatility,score_total,entry_price,target_price,stop_price,outcome,bars_to_outcome
159,2026-04-13 07:00:00,7,ES=F,15m,LONG,A,85.0,TRENDING_UP,5.0,0.0,17.0,13.0,0.0,85.0,6821.75,6833.113558,6816.068221,LOSS,1
170,2026-04-13 09:45:00,9,ES=F,15m,LONG,B,70.0,TRENDING_UP,5.0,-13.0,17.0,11.0,0.0,70.0,6858.5,6876.45449,6849.522755,LOSS,1
180,2026-04-13 12:15:00,12,ES=F,15m,LONG,A,97.0,TRENDING_UP,15.0,5.0,17.0,13.0,-3.0,97.0,6875.5,6895.771476,6865.364262,WIN,10
190,2026-04-13 14:45:00,14,ES=F,15m,LONG,A,100.0,TRENDING_UP,25.0,7.0,17.0,10.0,0.0,100.0,6894.75,6911.656158,6886.296921,WIN,4
200,2026-04-13 18:15:00,18,ES=F,15m,LONG,A,100.0,TRENDING_UP,25.0,7.0,13.0,5.0,0.0,100.0,6925.75,6940.748646,6918.250677,TIMEOUT,10
210,2026-04-13 20:45:00,20,ES=F,15m,LONG,B,73.0,TRENDING_UP,15.0,7.0,8.0,-7.0,0.0,73.0,6926.0,6937.05851,6920.470745,TIMEOUT,10
220,2026-04-13 23:15:00,23,ES=F,15m,LONG,B,71.0,TRENDING_UP,15.0,7.0,8.0,-4.0,-5.0,71.0,6923.0,6931.06221,6918.968895,TIMEOUT,10
235,2026-04-14 03:00:00,3,ES=F,15m,LONG,A,82.0,TRENDING_UP,15.0,7.0,9.0,6.0,-5.0,82.0,6933.75,6941.156118,6930.046941,WIN,8
245,2026-04-14 05:30:00,5,ES=F,15m,LONG,A,90.0,TRENDING_UP,15.0,7.0,13.0,5.0,0.0,90.0,6934.5,6942.603252,6930.448374,LOSS,4
255,2026-04-14 08:00:00,8,ES=F,15m,LONG,A,89.0,TRENDING_UP,15.0,5.0,9.0,10.0,0.0,89.0,6940.5,6950.246942,6935.626529,WIN,6
265,2026-04-14 10:30:00,10,ES=F,15m,LONG,A,100.0,TRENDING_UP,15.0,7.0,17.0,14.0,0.0,100.0,6970.5,6984.548568,6963.475716,WIN,3
275,2026-04-14 13:00:00,13,ES=F,15m,LONG,A,100.0,TRENDING_UP,25.0,7.0,13.0,10.0,0.0,100.0,6994.25,7008.577962,6987.086019,LOSS,5
286,2026-04-14 15:45:00,15,ES=F,15m,LONG,B,66.0,TRENDING_UP,-15.0,7.0,9.0,15.0,0.0,66.0,7006.0,7021.315392,6998.342304,TIMEOUT,10
301,2026-04-14 20:30:00,20,ES=F,15m,LONG,B,66.0,TRENDING_UP,15.0,7.0,8.0,-14.0,0.0,66.0,7005.75,7015.714006,7000.767997,TIMEOUT,10
319,2026-04-15 01:00:00,1,ES=F,15m,LONG,B,67.0,TRENDING_UP,5.0,-10.0,9.0,13.0,0.0,67.0,7008.75,7016.353286,7004.948357,LOSS,1
367,2026-04-15 13:00:00,13,ES=F,15m,LONG,A,86.0,TRENDING_UP,15.0,5.0,8.0,13.0,-5.0,86.0,7033.75,7049.825542,7025.712229,WIN,6
377,2026-04-15 15:30:00,15,ES=F,15m,LONG,A,100.0,TRENDING_UP,25.0,7.0,13.0,12.0,-3.0,100.0,7056.75,7072.314016,7048.967992,TIMEOUT,10
387,2026-04-15 19:00:00,19,ES=F,15m,LONG,A,100.0,TRENDING_UP,25.0,7.0,8.0,12.0,0.0,100.0,7065.25,7076.892428,7059.428786,WIN,10
397,2026-04-15 21:30:00,21,ES=F,15m,LONG,A,97.0,TRENDING_UP,25.0,7.0,9.0,6.0,0.0,97.0,7075.75,7085.3349,7070.95755,LOSS,5
407,2026-04-16 00:00:00,0,ES=F,15m,LONG,B,72.0,TRENDING_UP,15.0,7.0,8.0,-3.0,-5.0,72.0,7071.5,7078.726912,7067.886544,TIMEOUT,10
418,2026-04-16 02:45:00,2,ES=F,15m,LONG,B,70.0,TRENDING_UP,15.0,7.0,9.0,-1.0,-10.0,70.0,7077.0,7083.41314,7073.79343,LOSS,1
511,2026-04-17 03:00:00,3,ES=F,15m,LONG,A,91.0,TRENDING_UP,25.0,10.0,0.0,6.0,0.0,91.0,7084.0,7090.970124,7080.514938,WIN,7
522,2026-04-17 05:45:00,5,ES=F,15m,LONG,A,100.0,TRENDING_UP,25.0,5.0,7.0,13.0,0.0,100.0,7093.0,7100.221432,7089.389284,LOSS,3
532,2026-04-17 08:15:00,8,ES=F,15m,LONG,A,90.0,TRENDING_UP,15.0,5.0,7.0,13.0,0.0,90.0,7114.25,7123.362014,7109.693993,WIN,2
542,2026-04-17 10:45:00,10,ES=F,15m,LONG,A,88.0,TRENDING_UP,15.0,7.0,13.0,11.0,-8.0,88.0,7166.0,7188.703666,7154.648167,LOSS,10
598,2026-04-20 01:45:00,1,ES=F,15m,SHORT,A,81.0,TRENDING_DOWN,15.0,7.0,7.0,2.0,0.0,81.0,7113.75,7103.688266,7118.780867,LOSS,2
641,2026-04-20 15:45:00,15,ES=F,15m,LONG,A,83.0,TRENDING_UP,15.0,5.0,0.0,13.0,0.0,83.0,7148.25,7164.520406,7140.114797,TIMEOUT,10
675,2026-04-21 01:15:00,1,ES=F,15m,LONG,A,90.0,TRENDING_UP,25.0,7.0,9.0,9.0,-10.0,90.0,7164.0,7170.717892,7160.641054,LOSS,2
693,2026-04-21 05:45:00,5,ES=F,15m,LONG,A,97.0,TRENDING_UP,25.0,7.0,9.0,6.0,0.0,97.0,7168.5,7177.641032,7163.929484,WIN,5
703,2026-04-21 08:15:00,8,ES=F,15m,LONG,B,66.0,TRENDING_UP,-15.0,5.0,13.0,13.0,0.0,66.0,7174.25,7184.551108,7169.099446,LOSS,1
776,2026-04-22 03:30:00,3,ES=F,15m,LONG,A,90.0,TRENDING_UP,15.0,5.0,7.0,13.0,0.0,90.0,7146.5,7157.204696,7141.147652,LOSS,2
803,2026-04-22 10:15:00,10,ES=F,15m,LONG,A,99.0,TRENDING_UP,25.0,5.0,7.0,12.0,0.0,99.0,7164.5,7181.272922,7156.113539,LOSS,1
827,2026-04-22 16:15:00,16,ES=F,15m,LONG,A,87.0,TRENDING_UP,15.0,5.0,3.0,14.0,0.0,87.0,7163.25,7178.92458,7155.41271,TIMEOUT,10
894,2026-04-23 10:00:00,10,ES=F,15m,LONG,B,69.0,TRENDING_UP,15.0,5.0,13.0,-9.0,-5.0,69.0,7158.75,7178.486396,7148.881802,WIN,3
904,2026-04-23 12:30:00,12,ES=F,15m,LONG,B,70.0,TRENDING_UP,15.0,5.0,8.0,-8.0,0.0,70.0,7166.75,7184.957038,7157.646481,LOSS,2
