bar_index,timestamp,hour_of_day,symbol,timeframe,direction,grade,confidence,regime,score_structure,score_location,score_momentum,score_orderflow,score_volatility,score_total,entry_price,target_price,stop_price,outcome,bars_to_outcome
102,2025-02-20 04:00:00,4,ES=F,4h,LONG,A,84.0,TRENDING_UP,15.0,7.0,8.0,14.0,-10.0,84.0,6147.75,6181.655442,6130.797279,LOSS,1
213,2025-03-18 00:00:00,0,ES=F,4h,LONG,B,65.0,TRENDING_UP,5.0,0.0,11.0,-1.0,0.0,65.0,5667.75,5739.884686,5631.682657,LOSS,2
283,2025-04-02 12:00:00,12,ES=F,4h,LONG,B,68.0,TRENDING_UP,5.0,0.0,3.0,10.0,0.0,68.0,5710.0,5796.468106,5666.765947,LOSS,1
314,2025-04-09 12:00:00,12,ES=F,4h,LONG,B,67.0,TRENDING_UP,5.0,0.0,11.0,6.0,-5.0,67.0,5490.5,5806.149846,5332.675077,LOSS,5
325,2025-04-11 08:00:00,8,ES=F,4h,LONG,B,66.0,TRENDING_UP,5.0,-10.0,11.0,13.0,-3.0,66.0,5321.25,5578.581412,5192.584294,TIMEOUT,10
335,2025-04-14 20:00:00,20,ES=F,4h,LONG,B,73.0,TRENDING_UP,15.0,7.0,11.0,-10.0,0.0,73.0,5437.75,5616.575608,5348.337196,LOSS,7
366,2025-04-22 20:00:00,20,ES=F,4h,LONG,A,88.0,TRENDING_UP,15.0,7.0,13.0,3.0,0.0,88.0,5395.0,5514.191792,5335.404104,WIN,10
401,2025-04-30 12:00:00,12,ES=F,4h,LONG,B,71.0,TRENDING_UP,15.0,7.0,7.0,-3.0,-5.0,71.0,5584.0,5676.651568,5537.674216,WIN,5
412,2025-05-02 08:00:00,8,ES=F,4h,LONG,A,100.0,TRENDING_UP,25.0,7.0,17.0,11.0,-5.0,100.0,5703.0,5790.134422,5659.432789,LOSS,6
425,2025-05-06 08:00:00,8,ES=F,4h,LONG,A,84.0,TRENDING_UP,15.0,7.0,7.0,15.0,-10.0,84.0,5641.5,5708.200254,5608.149873,LOSS,2
437,2025-05-08 08:00:00,8,ES=F,4h,LONG,B,72.0,TRENDING_UP,5.0,-10.0,15.0,12.0,0.0,72.0,5721.25,5800.773142,5681.488429,LOSS,2
447,2025-05-11 20:00:00,20,ES=F,4h,LONG,A,85.0,TRENDING_UP,25.0,7.0,15.0,-12.0,0.0,85.0,5760.25,5835.363888,5722.693056,WIN,1
458,2025-05-13 16:00:00,16,ES=F,4h,LONG,A,80.0,TRENDING_UP,15.0,7.0,11.0,2.0,-5.0,80.0,5907.75,5979.884406,5871.682797,LOSS,9
468,2025-05-15 08:00:00,8,ES=F,4h,LONG,A,80.0,TRENDING_UP,15.0,7.0,7.0,11.0,-10.0,80.0,5925.25,5985.79282,5894.97859,TIMEOUT,10
480,2025-05-19 04:00:00,4,ES=F,4h,LONG,B,65.0,TRENDING_UP,15.0,7.0,6.0,-3.0,-10.0,65.0,5916.0,5971.241092,5888.379454,WIN,2
493,2025-05-21 08:00:00,8,ES=F,4h,LONG,A,86.0,TRENDING_UP,15.0,7.0,7.0,12.0,-5.0,86.0,5947.5,6004.274246,5919.112877,LOSS,1
526,2025-05-28 16:00:00,16,ES=F,4h,LONG,B,74.0,TRENDING_UP,25.0,7.0,5.0,-13.0,0.0,74.0,5991.75,6059.18186,5958.03407,LOSS,3
561,2025-06-05 08:00:00,8,ES=F,4h,LONG,A,87.0,TRENDING_UP,15.0,7.0,15.0,10.0,-10.0,87.0,6006.5,6057.75666,5980.87167,LOSS,1
573,2025-06-09 04:00:00,4,ES=F,4h,LONG,A,80.0,TRENDING_UP,15.0,7.0,5.0,8.0,-5.0,80.0,6016.0,6064.904736,5991.547632,LOSS,5
586,2025-06-11 08:00:00,8,ES=F,4h,LONG,A,84.0,TRENDING_UP,15.0,7.0,5.0,12.0,-5.0,84.0,6049.75,6099.874236,6024.687882,LOSS,1
636,2025-06-23 12:00:00,12,ES=F,4h,LONG,A,84.0,TRENDING_UP,15.0,7.0,7.0,10.0,-5.0,84.0,6076.75,6148.527834,6040.861083,WIN,6
646,2025-06-25 04:00:00,4,ES=F,4h,LONG,A,100.0,TRENDING_UP,25.0,7.0,13.0,8.0,0.0,100.0,6156.0,6210.078594,6128.960703,TIMEOUT,10
656,2025-06-26 20:00:00,20,ES=F,4h,LONG,A,93.0,TRENDING_UP,25.0,7.0,13.0,8.0,-10.0,93.0,6201.5,6243.877398,6180.311301,WIN,6
667,2025-06-30 12:00:00,12,ES=F,4h,LONG,A,85.0,TRENDING_UP,15.0,7.0,8.0,15.0,-10.0,85.0,6251.5,6294.880028,6229.809986,LOSS,5
678,2025-07-02 08:00:00,8,ES=F,4h,LONG,A,83.0,TRENDING_UP,15.0,7.0,9.0,12.0,-10.0,83.0,6264.75,6303.22909,6245.510455,WIN,4
706,2025-07-09 16:00:00,16,ES=F,4h,LONG,A,84.0,TRENDING_UP,15.0,7.0,0.0,12.0,0.0,84.0,6303.5,6343.385114,6283.557443,LOSS,7
724,2025-07-14 20:00:00,20,ES=F,4h,LONG,A,80.0,TRENDING_UP,15.0,7.0,0.0,8.0,0.0,80.0,6317.0,6359.045346,6295.977327,LOSS,4
743,2025-07-18 00:00:00,0,ES=F,4h,LONG,A,97.0,TRENDING_UP,25.0,7.0,3.0,12.0,0.0,97.0,6346.25,6387.177638,6325.786181,LOSS,3
764,2025-07-23 08:00:00,8,ES=F,4h,LONG,A,86.0,TRENDING_UP,15.0,7.0,7.0,12.0,-5.0,86.0,6377.75,6413.88075,6359.684625,WIN,6
776,2025-07-25 08:00:00,8,ES=F,4h,LONG,A,100.0,TRENDING_UP,25.0,7.0,13.0,12.0,-5.0,100.0,6413.75,6445.923206,6397.663397,WIN,3
