bar_index,timestamp,hour_of_day,config,asset,symbol,timeframe,direction,grade,confidence,in_lvn,in_hvn,wme_speed,wme_sweep_bars_ago,wme_sweep_count_20,htf_bull,entry_price,stop_loss,targets_hit,r_multiple,outcome,bars_to_outcome
448,2026-02-02 18:15:00,18,G_STRICT_SESSION,ETH,ETHUSDT,15m,SHORT,B,67.6,True,False,-0.5056,10,3,False,2336.65,2407.916989,1,1.045,WIN,60
1202,2026-02-10 14:45:00,14,G_STRICT_SESSION,ETH,ETHUSDT,15m,SHORT,A,95.0,False,False,-1.7323,0,2,False,2009.8,2051.242276,2,0.416,WIN,54
1586,2026-02-14 14:45:00,14,G_STRICT_SESSION,ETH,ETHUSDT,15m,LONG,B,63.5,False,False,0.5666,6,1,True,2085.09,2060.415963,0,-1.0,LOSS,42
1874,2026-02-17 14:45:00,14,G_STRICT_SESSION,ETH,ETHUSDT,15m,SHORT,A,95.0,False,False,-2.324,0,2,False,1948.49,1982.517083,1,-0.176,WIN,1
3023,2026-03-01 14:00:00,14,G_STRICT_SESSION,ETH,ETHUSDT,15m,LONG,A,95.0,False,False,2.3995,2,2,True,2015.96,1980.465251,1,-0.74,LOSS,11
3208,2026-03-03 12:15:00,12,G_STRICT_SESSION,ETH,ETHUSDT,15m,LONG,A,85.0,False,False,1.7222,10,1,True,1975.01,1939.647677,0,-1.0,LOSS,9
3233,2026-03-03 18:30:00,18,G_STRICT_SESSION,ETH,ETHUSDT,15m,LONG,B,64.7,False,False,0.6444,14,1,True,1993.0,1935.411841,3,0.916,WIN,60
4532,2026-03-17 07:15:00,7,G_STRICT_SESSION,ETH,ETHUSDT,15m,LONG,B,65.1,False,False,0.6756,13,1,True,2335.43,2293.025534,0,-0.025,LOSS,60
5898,2026-03-31 12:45:00,12,G_STRICT_SESSION,ETH,ETHUSDT,15m,LONG,B,60.9,False,False,0.3911,14,2,True,2047.78,2019.138043,1,0.354,WIN,1
5994,2026-04-01 12:45:00,12,G_STRICT_SESSION,ETH,ETHUSDT,15m,LONG,A,90.0,False,False,1.0026,0,0,True,2130.82,2102.993158,3,0.705,WIN,17
6481,2026-04-06 14:30:00,14,G_STRICT_SESSION,ETH,ETHUSDT,15m,LONG,A,95.0,False,False,1.3385,0,1,True,2148.01,2119.456588,1,0.373,WIN,1
6664,2026-04-08 12:15:00,12,G_STRICT_SESSION,ETH,ETHUSDT,15m,LONG,A,77.2,False,False,0.8119,2,2,True,2248.35,2223.372456,1,0.226,WIN,1
6784,2026-04-09 18:15:00,18,G_STRICT_SESSION,ETH,ETHUSDT,15m,SHORT,B,72.6,False,False,-1.1741,8,4,False,2209.14,2248.465137,4,0.551,WIN,28
6960,2026-04-11 14:15:00,14,G_STRICT_SESSION,ETH,ETHUSDT,15m,LONG,B,72.7,False,False,0.5164,4,1,True,2241.11,2227.458938,1,0.597,WIN,4
7151,2026-04-13 14:00:00,14,G_STRICT_SESSION,ETH,ETHUSDT,15m,LONG,A,95.0,False,False,3.0164,4,2,True,2208.05,2180.580299,0,5.7,WIN,60
7439,2026-04-16 14:00:00,14,G_STRICT_SESSION,ETH,ETHUSDT,15m,SHORT,A,95.0,False,False,-2.2358,2,1,False,2306.09,2336.693936,1,0.492,WIN,1
7824,2026-04-20 14:15:00,14,G_STRICT_SESSION,ETH,ETHUSDT,15m,SHORT,A,79.9,False,False,-0.993,4,2,False,2310.82,2343.718903,2,0.824,WIN,3
8304,2026-04-25 14:15:00,14,G_STRICT_SESSION,ETH,ETHUSDT,15m,LONG,B,66.2,False,False,0.7438,9,1,True,2317.48,2309.574445,0,-1.0,LOSS,6
8511,2026-04-27 18:00:00,18,G_STRICT_SESSION,ETH,ETHUSDT,15m,SHORT,B,62.2,False,False,-0.4792,12,2,False,2288.28,2313.006747,3,0.142,WIN,60
8785,2026-04-30 14:30:00,14,G_STRICT_SESSION,ETH,ETHUSDT,15m,SHORT,B,61.0,False,False,-0.4001,0,3,False,2261.08,2286.871519,1,-0.731,LOSS,51
8993,2026-05-02 18:30:00,18,G_STRICT_SESSION,ETH,ETHUSDT,15m,LONG,B,74.4,False,False,0.6238,1,2,True,2309.58,2301.42966,0,-1.0,LOSS,30
9043,2026-05-03 07:00:00,7,G_STRICT_SESSION,ETH,ETHUSDT,15m,LONG,B,67.2,False,False,0.8151,11,1,True,2307.59,2297.247404,2,0.94,WIN,19
9333,2026-05-06 07:30:00,7,G_STRICT_SESSION,ETH,ETHUSDT,15m,LONG,A,75.0,True,False,0.3333,7,2,True,2371.49,2353.038254,2,0.473,WIN,4
9359,2026-05-06 14:00:00,14,G_STRICT_SESSION,ETH,ETHUSDT,15m,SHORT,B,67.9,False,False,-0.8621,10,1,False,2358.21,2388.014247,2,-0.053,WIN,1
9641,2026-05-09 12:30:00,12,G_STRICT_SESSION,ETH,ETHUSDT,15m,LONG,B,67.7,False,False,0.8451,9,1,True,2315.28,2305.801539,0,-1.0,LOSS,7
