bar_index,timestamp,hour_of_day,config,asset,symbol,timeframe,direction,grade,confidence,in_lvn,in_hvn,wme_speed,wme_sweep_bars_ago,wme_sweep_count_20,htf_bull,entry_price,stop_loss,targets_hit,r_multiple,outcome,bars_to_outcome
1586,2026-02-14 14:45:00,14,L_G_B_71214,ETH,ETHUSDT,15m,LONG,B,63.5,False,False,0.5666,6,1,True,2085.09,2060.415963,0,-1.0,LOSS,42
3209,2026-03-03 12:30:00,12,L_G_B_71214,ETH,ETHUSDT,15m,LONG,B,63.7,False,False,0.5829,11,1,True,1967.58,1932.239043,0,-1.0,LOSS,9
4532,2026-03-17 07:15:00,7,L_G_B_71214,ETH,ETHUSDT,15m,LONG,B,65.1,False,False,0.6756,13,1,True,2335.43,2293.025534,0,-0.025,LOSS,60
5898,2026-03-31 12:45:00,12,L_G_B_71214,ETH,ETHUSDT,15m,LONG,B,60.9,False,False,0.3911,14,2,True,2047.78,2019.138043,1,0.354,WIN,1
6666,2026-04-08 12:45:00,12,L_G_B_71214,ETH,ETHUSDT,15m,LONG,B,69.5,False,False,0.3017,4,2,True,2255.88,2230.050261,0,-1.0,LOSS,5
6960,2026-04-11 14:15:00,14,L_G_B_71214,ETH,ETHUSDT,15m,LONG,B,72.7,False,False,0.5164,4,1,True,2241.11,2227.458938,1,0.597,WIN,4
7826,2026-04-20 14:45:00,14,L_G_B_71214,ETH,ETHUSDT,15m,SHORT,B,64.9,False,False,-0.6624,6,2,False,2290.9,2328.082927,3,0.08,WIN,1
8304,2026-04-25 14:15:00,14,L_G_B_71214,ETH,ETHUSDT,15m,LONG,B,66.2,False,False,0.7438,9,1,True,2317.48,2309.574445,0,-1.0,LOSS,6
8785,2026-04-30 14:30:00,14,L_G_B_71214,ETH,ETHUSDT,15m,SHORT,B,61.0,False,False,-0.4001,0,3,False,2261.08,2286.871519,1,-0.731,LOSS,51
9043,2026-05-03 07:00:00,7,L_G_B_71214,ETH,ETHUSDT,15m,LONG,B,67.2,False,False,0.8151,11,1,True,2307.59,2297.247404,2,0.94,WIN,19
9331,2026-05-06 07:00:00,7,L_G_B_71214,ETH,ETHUSDT,15m,LONG,B,60.8,False,False,0.385,5,2,True,2370.04,2351.195839,3,0.391,WIN,6
9359,2026-05-06 14:00:00,14,L_G_B_71214,ETH,ETHUSDT,15m,SHORT,B,67.9,False,False,-0.8621,10,1,False,2358.21,2388.014247,2,-0.053,WIN,1
9641,2026-05-09 12:30:00,12,L_G_B_71214,ETH,ETHUSDT,15m,LONG,B,67.7,False,False,0.8451,9,1,True,2315.28,2305.801539,0,-1.0,LOSS,7
