bar_index,timestamp,symbol,timeframe,direction,grade,confidence,regime,score_structure,score_location,score_momentum,score_orderflow,score_volatility,score_total,entry_price,target_price,stop_price,outcome,bars_to_outcome
114,2026-05-01 20:30:00,BTCUSDT,5m,SHORT,A,80.0,TRENDING_DOWN,25.0,8.0,-4.0,11.0,-10.0,80.0,78115.13,77955.664514,78194.862743,WIN,2
152,2026-05-01 23:40:00,BTCUSDT,5m,SHORT,C,51.0,REVERSAL,15.0,5.0,-8.0,-6.0,-5.0,51.0,78112.21,78001.475482,78167.577259,LOSS,2
164,2026-05-02 00:40:00,BTCUSDT,5m,LONG,C,53.0,TRENDING_UP,5.0,-3.0,7.0,-1.0,-5.0,53.0,78323.86,78449.181002,78261.199499,TIMEOUT,10
174,2026-05-02 01:30:00,BTCUSDT,5m,LONG,B,74.0,TRENDING_UP,15.0,3.0,7.0,4.0,-5.0,74.0,78424.1,78544.945342,78363.677329,LOSS,1
190,2026-05-02 02:50:00,BTCUSDT,5m,LONG,A,79.0,TRENDING_UP,15.0,3.0,0.0,11.0,0.0,79.0,78415.04,78531.9429,78356.58855,LOSS,1
216,2026-05-02 05:00:00,BTCUSDT,5m,SHORT,B,68.0,TRENDING_DOWN,15.0,8.0,-4.0,9.0,-10.0,68.0,78145.75,78038.861414,78199.194293,LOSS,7
226,2026-05-02 05:50:00,BTCUSDT,5m,SHORT,C,53.0,TRENDING_DOWN,15.0,10.0,-13.0,1.0,-10.0,53.0,78203.02,78100.340616,78254.359692,LOSS,2
259,2026-05-02 08:35:00,BTCUSDT,5m,LONG,B,65.0,TRENDING_UP,15.0,10.0,-2.0,2.0,-10.0,65.0,78340.73,78407.841584,78307.174208,LOSS,4
271,2026-05-02 09:35:00,BTCUSDT,5m,LONG,C,57.0,TRENDING_UP,15.0,10.0,-2.0,-11.0,-5.0,57.0,78313.12,78382.328552,78278.515724,LOSS,9
291,2026-05-02 11:15:00,BTCUSDT,5m,SHORT,B,70.0,TRENDING_DOWN,15.0,10.0,-8.0,13.0,-10.0,70.0,78191.0,78136.19456,78218.40272,LOSS,1
305,2026-05-02 12:25:00,BTCUSDT,5m,LONG,C,52.0,TRENDING_UP,5.0,-3.0,-6.0,6.0,0.0,52.0,78242.85,78313.031896,78207.759052,LOSS,1
329,2026-05-02 14:25:00,BTCUSDT,5m,LONG,B,70.0,TRENDING_UP,-15.0,8.0,19.0,11.0,-3.0,70.0,78420.43,78511.000944,78375.144528,LOSS,10
338,2026-05-02 15:10:00,BTCUSDT,5m,SHORT,C,52.0,BREAKOUT,5.0,-2.0,-11.0,10.0,0.0,52.0,78435.26,78358.982576,78473.398712,LOSS,9
349,2026-05-02 16:05:00,BTCUSDT,5m,LONG,B,74.0,TRENDING_UP,15.0,3.0,-2.0,11.0,-3.0,74.0,78520.81,78598.696564,78481.866718,LOSS,5
369,2026-05-02 17:45:00,BTCUSDT,5m,SHORT,C,54.0,TRENDING_DOWN,5.0,-2.0,-4.0,5.0,0.0,54.0,78400.01,78327.878454,78436.075773,WIN,5
415,2026-05-02 21:35:00,BTCUSDT,5m,LONG,A,79.0,TRENDING_UP,15.0,7.0,7.0,8.0,-8.0,79.0,78900.63,79048.84566,78826.52217,LOSS,1
428,2026-05-02 22:40:00,BTCUSDT,5m,SHORT,C,50.0,TRENDING_DOWN,5.0,0.0,-9.0,7.0,-3.0,50.0,78660.16,78502.322048,78739.078976,LOSS,2
430,2026-05-02 22:50:00,BTCUSDT,5m,LONG,B,60.0,TRENDING_UP,15.0,5.0,-10.0,8.0,-8.0,60.0,78808.76,78972.767724,78726.756138,LOSS,3
