signal_id,timestamp,utc_hour,strategy,symbol,timeframe,mode,direction,grade,confidence,in_session,wme_signal,cvd_signal,in_lvn,entry_price,stop_loss,stop_pct,target_1,target_2,target_3,account_balance,status,exit_price,exit_time,r_multiple,pnl_usdt,running_wins,running_losses,running_wr,running_equity,notes
WF-BTC_G-001,2022-08-02 12:45:00+00:00,12,BTC_G,BTCUSDT,15m,G,SHORT,A,76.0,True,True,,False,22783.5,23040.5347,1.128,22526.4653,22269.4307,22012.396,52.5,LOSS,23040.5347,2022-08-02 14:15:00+00:00,-1.0,-1.05,0,1,0.0,51.45,WalkForward Aug-Nov 2022 bear market
WF-BTC_G-002,2022-08-04 12:15:00+00:00,12,BTC_G,BTCUSDT,15m,G,SHORT,B,72.3,True,True,,False,22816.0,23075.4776,1.137,22801.83,22297.0447,22037.5671,51.45,LOSS,23075.4776,2022-08-04 13:30:00+00:00,-1.0,-1.029,0,2,0.0,50.421,WalkForward Aug-Nov 2022 bear market
WF-BTC_G-003,2022-08-05 14:15:00+00:00,14,BTC_G,BTCUSDT,15m,G,LONG,A,95.0,True,True,,False,23270.0,22906.0019,1.564,23633.9981,23997.9963,24361.9944,50.421,LOSS,22906.0019,2022-08-05 16:30:00+00:00,-1.0,-1.0084,0,3,0.0,49.4126,WalkForward Aug-Nov 2022 bear market
WF-BTC_G-004,2022-08-06 12:00:00+00:00,12,BTC_G,BTCUSDT,15m,G,SHORT,B,65.1,True,True,,False,23147.0,23260.2907,0.489,22979.3,22920.4185,22807.1278,49.4126,WIN,22979.3,2022-08-06 17:00:00+00:00,1.48,1.4626,1,3,25.0,50.8752,WalkForward Aug-Nov 2022 bear market
WF-BTC_G-005,2022-08-06 18:00:00+00:00,18,BTC_G,BTCUSDT,15m,G,SHORT,B,72.6,True,True,,False,23127.0,23315.4685,0.815,23089.9,22750.0629,22561.5944,50.8752,WIN,23089.9,2022-08-06 20:15:00+00:00,0.197,0.2004,2,3,40.0,51.0756,WalkForward Aug-Nov 2022 bear market
WF-BTC_G-006,2022-08-15 07:00:00+00:00,7,BTC_G,BTCUSDT,15m,G,SHORT,B,64.3,True,True,,False,24121.0,24590.6545,1.947,24063.095,23181.6911,22712.0366,51.0756,WIN,24063.095,2022-08-15 07:15:00+00:00,0.123,0.1256,3,3,50.0,51.2013,WalkForward Aug-Nov 2022 bear market
WF-BTC_G-007,2022-08-16 12:45:00+00:00,12,BTC_G,BTCUSDT,15m,G,SHORT,A,82.7,True,True,,False,23953.0,24157.1202,0.852,23920.32,23544.7595,23340.6393,51.2013,WIN,23920.32,2022-08-16 13:00:00+00:00,0.16,0.1638,4,3,57.1,51.3651,WalkForward Aug-Nov 2022 bear market
WF-BTC_G-008,2022-08-16 18:45:00+00:00,18,BTC_G,BTCUSDT,15m,G,SHORT,A,85.0,True,True,,False,23785.0,24098.69,1.319,23761.93,23157.62,22843.93,51.3651,LOSS,24098.69,2022-08-17 05:15:00+00:00,-1.0,-1.0273,4,4,50.0,50.3378,WalkForward Aug-Nov 2022 bear market
WF-BTC_G-009,2022-08-17 07:30:00+00:00,7,BTC_G,BTCUSDT,15m,G,SHORT,A,95.0,True,True,,False,24045.0,24416.9592,1.547,23908.2,23855.0,23741.0,50.3378,WIN,23908.2,2022-08-17 07:45:00+00:00,0.368,0.3705,5,4,55.6,50.7083,WalkForward Aug-Nov 2022 bear market
WF-BTC_G-010,2022-08-19 18:15:00+00:00,18,BTC_G,BTCUSDT,15m,G,SHORT,B,61.8,True,True,,False,21339.0,21652.5729,1.469,21025.4271,20711.8541,20398.2812,50.7083,WIN,21025.4271,2022-08-19 21:45:00+00:00,1.0,1.0142,6,4,60.0,51.7225,WalkForward Aug-Nov 2022 bear market
WF-BTC_G-011,2022-08-22 12:00:00+00:00,12,BTC_G,BTCUSDT,15m,G,LONG,B,60.7,True,True,,False,21234.5,20960.328,1.291,21261.83,21294.72,21448.48,51.7225,WIN,21261.83,2022-08-22 12:30:00+00:00,0.1,0.1034,7,4,63.6,51.8259,WalkForward Aug-Nov 2022 bear market
WF-BTC_G-012,2022-08-25 14:00:00+00:00,14,BTC_G,BTCUSDT,15m,G,LONG,A,84.2,True,True,,False,21696.0,21493.976,0.931,21708.7,22100.048,22302.072,51.8259,WIN,21708.7,2022-08-25 14:15:00+00:00,0.063,0.0653,8,4,66.7,51.8912,WalkForward Aug-Nov 2022 bear market
WF-BTC_G-013,2022-08-31 07:30:00+00:00,7,BTC_G,BTCUSDT,15m,G,LONG,B,65.9,True,True,,False,20277.5,20035.3274,1.194,20296.3,20319.64,21004.0177,51.8912,WIN,20296.3,2022-08-31 08:00:00+00:00,0.078,0.081,9,4,69.2,51.9722,WalkForward Aug-Nov 2022 bear market
WF-BTC_G-014,2022-08-31 12:30:00+00:00,12,BTC_G,BTCUSDT,15m,G,SHORT,B,69.0,True,True,,False,20237.5,20498.321,1.289,20207.035,20072.92,19937.19,51.9722,WIN,20207.035,2022-08-31 14:30:00+00:00,0.117,0.1216,10,4,71.4,52.0938,WalkForward Aug-Nov 2022 bear market
